Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq),Protein (cropland),Protein (pasture/forage),Dairy (cropland),Dairy (pasture/forage),Fruit (orchard/vineyard),Fruit (berry/melon),Vegetables (specialty),Vegetables (field),Grains,Oil,Sugar,Commodity crops (corn/soy),Pasture LU (ha)
2030,766643.0,100669.25208662463,7199822077.26556,260832938566.43494,1596480316.819969,11068.490929443036,36262.319828089,489.21001098513693,3879.4469564765614,832.4870070864882,658.9914725063849,1426.140234420675,1007.4999452357334,13173.189567600588,27531.38980089735,4340.086333883684,468681.829982,40141.76678456556
2031,772596.0,101450.95107516517,7225499494.75284,261708509565.83075,1601262732.5596004,11154.438008465444,36543.89755062298,493.0087376354742,3909.5709486501087,838.951287270597,664.1085559935236,1437.2142451603627,1015.3232047893828,13275.479678507394,27745.171656969524,4373.787201100379,468681.829982,40453.46849927309
2032,778493.0,102225.29660438128,7250935364.217398,262575844049.86182,1606000160.0107353,11239.576581453035,36822.82646541936,496.7717295818943,3939.4115637765,845.3547578309349,669.1775029654129,1448.1840824410508,1023.0728707708828,13376.807544124298,27956.94246248903,4407.17104352888,468681.829982,40762.23802919586
2033,784328.0,102991.50080363108,7276103805.513935,263434059534.73907,1610687778.9996061,11323.820022759224,37098.822771649124,500.49515810612047,3968.9384400292547,851.6909034506689,674.193155938276,1459.0385848207043,1030.741058154646,13477.070066741671,28166.4867477538,4440.20389422759,468681.829982,41067.76121167838
2034,790085.0,103747.46268453613,7300935804.921677,264280802730.35837,1615312735.7295,11406.937330659777,37371.12966710151,504.1688132927476,3998.070612537757,857.9423499515785,679.1417616220419,1469.7479884538948,1038.306740205773,13575.992319133824,28373.229926891632,4472.795174685597,468681.829982,41369.20027963926
2035,795762.0,104492.91962354915,7325422735.725523,265115779475.45663,1619873423.4758275,11488.899629939166,37639.65255150019,507.79141890235024,4026.7979606931794,864.1069255613864,684.0216008554514,1480.3085728599428,1045.767288582401,13673.539935397544,28577.100176668508,4504.933562589038,468681.829982,41666.45051219337
2036,801351.0,105226.82112648097,7349530091.065086,265937813124.98175,1624363415.340232,11569.591419735272,37904.013023739804,511.35786997722596,4055.0800020602137,870.1759431909825,688.8257969934689,1490.7054561161353,1053.1121899170803,13769.575451919995,28777.810204148333,4536.573768682456,468681.829982,41959.093025800015
2037,806861.0,105950.3489992944,7373296691.158302,266748227404.61737,1628789941.5833645,11649.142638517978,38164.63678506387,514.8739095947899,4082.9622793785825,876.1591758156155,693.5620862617596,1500.9553803855256,1060.3532717481921,13864.253515265616,28975.683213884215,4567.766743378239,468681.829982,42247.59906444245
2038,812298.0,106664.29111263134,7396748416.150467,267547904798.15253,1633157822.3789928,11727.639911933875,38421.80763630144,518.3433664733191,4110.475154474765,882.0631387521182,698.2356261441001,1511.0695071101482,1067.4984191013234,13957.677223144048,29170.934675578224,4598.546453617979,468681.829982,42532.282790776204
2039,817679.0,107370.87976664386,7419958593.119904,268339345676.323,1637480714.8861246,11805.328679314955,38676.329679801405,521.777088647931,4137.704652523793,887.9062920648496,702.8610295111914,1521.0794603757724,1074.5699728823054,14050.138685732578,29364.17508671956,4629.009139069524,468681.829982,42814.0343323252
2040,823018.0,108071.95332616307,7442987609.072298,269124609167.9699,1641769866.1768844,11882.411067169922,38928.86511749818,525.1840097946051,4164.7216177874525,893.7038381597528,707.4503304918454,1531.0112835471464,1081.5863314841758,14141.878464353684,29555.90720994639,4659.23405592992,468681.829982,43093.58673528563
2041,828332.0,108769.74409134104,7465908791.085976,269906195643.82904,1646038933.4102795,11959.132514830777,39180.218051740674,528.574977948459,4191.612075440777,899.4742371011864,712.0181419567632,1540.8966007100396,1088.569835812765,14233.188669184652,29746.741542747925,4689.317443867015,468681.829982,43371.83012718145
2042,833640.0,109466.74698587711,7488804092.954359,270686899635.89905,1650303180.4699073,12035.767336845045,39431.28718515414,531.962117384036,4218.472171267618,905.2381207257877,716.5807959379043,1550.7707564308962,1095.5454551157668,14324.395776305992,29937.360405847397,4719.366864862516,468681.829982,43649.75935642176
2043,838955.0,110164.66906282869,7511729588.325584,271468633192.38965,1654573051.0655968,12112.503222113663,39682.68741953479,535.3537236576027,4245.367689225353,911.0096055533602,721.1494669834516,1560.6579338341282,1102.5302736152876,14415.723164088566,30128.230650265945,4749.455913956543,468681.829982,43928.05510876015
2044,844291.0,110865.34868702697,7534745664.20533,272253455442.14203,1658859792.2694726,12189.542297145337,39935.08095681705,538.7587304451383,4272.369473575774,916.803893989847,725.7361892222171,1570.5841762844846,1109.5426897043637,14507.411393854854,30319.855038641745,4779.6638473461435,468681.829982,44207.450430392826
2045,849660.0,111570.36159975568,7557904080.884186,273043131352.73438,1663173044.4290698,12267.057813233241,40189.03539865896,542.1847951831967,4299.538247971839,922.6340166689131,730.3512776217547,1580.5718066660372,1116.5984734341712,14599.666661024123,30512.664510378934,4810.058598914503,468681.829982,44488.5736466308
2046,855071.0,112280.88960697773,7581243658.580084,273838984649.85022,1667520037.805039,12345.179708847256,40444.97644630408,545.6376609491928,4326.919555153272,928.5097465658077,735.0024684077296,1590.637567141839,1123.7094523430903,14692.643612160813,30706.982270030632,4840.691119074009,468681.829982,44771.89600145735
2047,860540.0,112999.03369707147,7604833411.013805,274643368623.5938,1671913626.194094,12424.138985711616,40703.66090196312,549.1275376585318,4354.594359990686,934.448457858751,739.7035148702125,1600.8112215573192,1130.8966531660212,14786.617174490617,30903.38290346902,4871.651986335576,468681.829982,45058.255261953804
2048,866088.0,113727.55141728363,7628763918.693872,275459371967.2269,1676370680.2044206,12504.23883358938,40966.082068537704,552.6678258251823,4382.6689288767675,940.4729541566576,744.4724682024225,1611.131834959601,1138.18767349252,14881.948189997247,31102.620554651363,4903.060084994779,468681.829982,45348.75099741447
2049,871726.0,114467.88719712428,7653082628.553322,276288612567.69617,1680900036.8212593,12585.638066165948,41232.7602475477,556.2655447659855,4411.1989251600635,946.5951802070534,749.3187837912833,1621.6198699924182,1145.5969692028298,14978.825671148357,31305.090251364767,4934.977687777869,468681.829982,45643.959172707764
2050,877459.0,115220.69759546175,7677811107.379894,277131825828.1591,1685505712.8560834,12668.408871480155,41503.93193968399,559.9238850795053,4440.209650362642,952.8205654406325,754.2467595399423,1632.284627857466,1153.131111151607,15077.335532701978,31510.97155169431,4967.433100469506,468681.829982,45944.14159004664
