,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,AVG
SCRN,2148.1033333333335,2670.9833333333336,3160.786666666667,1539.2,1361.1033333333332,2231.2166666666667,2830.03,3569.4233333333336,1752.89,3015.6766666666663,2072.39,2369.9266666666667,3570.236666666667,1851.1899999999998,1976.8700000000001,1694.2799999999997,2032.783333333333,1331.02,3469.0499999999997,2542.32,637.5766666666667,645.9766666666666,2406.403333333333,1784.0333333333335,2362.2000000000003,1434.0133333333333,2742.15,3505.1433333333334,1452.64,1017.15,2477.4933333333333,2182.395483870968
SNPB,1108.375,935.99,1031.54,937.99,699.26,769.77,1149.375,1287.78,237.54,1260.505,695.9300000000001,1154.3049999999998,1366.0900000000001,665.12,758.0799999999999,226.73000000000002,999.105,679.35,1266.81,1351.585,256.495,75.75999999999999,866.12,614.725,875.21,587.145,1150.04,1340.96,446.42,675.9449999999999,781.81,846.8341935483869
SOYB,1329.0090572390573,1304.1783285163776,1502.5853775853775,1285.9740655105973,1322.9100769600768,1300.319128131021,1345.1777056277058,1717.9031888246627,1660.2799037999039,1620.599971098266,1257.2287734487736,1416.1329335260116,1661.9037181337183,1261.4204431599228,1525.3613949013948,1444.4339113680153,1650.0686195286196,1211.5072398843931,1679.9023088023087,798.3138969171483,1274.2430543530543,1202.3171098265896,1203.852958152958,1224.6829094412333,1672.0351274651273,1370.9619894026973,1126.8367484367484,1650.9869460500965,1275.1356998556998,1250.3773506743737,1128.109874939875,1376.604832631026
SPIN,3913.645,2871.115,3613.755,4150.35,2886.385,3693.83,4558.505,4332.465,3525.615,4610.525,3916.57,4654.3150000000005,5251.005,3154.885,2747.7699999999995,2935.575,3830.945,3011.23,4432.5,4721.985000000001,2914.84,2684.8450000000003,3955.6800000000003,3280.755,3815.46,3338.04,3688.19,4721.485,3088.045,2628.22,2850.84,3670.302258064516
SPOT,938.0633333333332,809.98,1022.4133333333333,552.6333333333333,413.57,709.4833333333332,1484.51,1686.0366666666669,1031.4466666666667,1346.4166666666667,725.8333333333334,1169.27,1288.5266666666666,1082.39,504.9166666666667,1036.7033333333331,686.8566666666667,1397.97,1242.1466666666668,1034.42,437.62000000000006,570.68,1110.6333333333332,565.88,1319.6333333333332,739.3066666666667,1389.53,1425.5833333333333,1015.7766666666666,1120.9399999999998,1233.0666666666666,1002.975376344086
SQUA,605.75,1177.5149999999999,467.5,1576.485,1355.38,840.815,783.895,794.415,193.525,654.265,856.245,1589.2649999999999,410.025,1279.585,767.37,632.5350000000001,1009.94,1283.4299999999998,464.73,1504.31,378.305,228.575,399.91499999999996,604.86,647.115,487.225,2113.995,808.415,1057.04,1115.315,1634.425,894.2633870967743
STRW,2754.865,1785.0,3313.3999999999996,2922.665,2830.885,2081.33,3537.31,3355.3450000000003,2586.44,2841.2799999999997,1775.155,3108.54,2452.96,2054.18,606.265,2499.135,2737.955,2449.91,2965.15,3019.1949999999997,1589.9,865.865,1317.72,449.2,2455.37,1053.45,3271.185,3512.52,1226.675,971.925,1329.795,2249.05064516129
SWRN,10449.037701863354,11134.660248447204,10402.475031055901,12031.476677018634,12509.161366459628,13238.525838509318,13996.708913043476,13565.466180124222,13205.254658385093,14281.029844720499,14316.873012422358,14445.257763975154,14083.620279503104,14194.63546583851,13713.551770186335,13364.129161490682,13963.29347826087,14498.127111801241,13856.095279503104,14423.272204968946,13466.002732919258,12698.600434782607,11852.366956521739,12056.522422360249,13278.42537267081,12412.367608695655,14175.152919254659,13632.28639751553,13889.876739130437,13721.997173913043,14238.153695652174,13261.109820677219
TOMA,1573.605,1353.08,1314.54,638.795,927.22,1076.55,1802.365,1398.905,1808.005,1750.595,1615.7,1580.625,2050.585,1471.0500000000002,1439.45,2030.95,1193.95,1581.415,1744.295,1628.085,1194.32,1433.17,1736.325,1495.925,1849.92,1507.43,750.63,1188.08,1815.59,1760.895,1490.4299999999998,1490.402580645161
WATR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WETN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWHT,1144.433611111111,1269.8908333333334,1032.3966666666665,820.8919444444444,1435.1726388888887,1470.7372222222223,1454.2708333333333,1185.7719444444444,926.6688888888889,1271.4948611111113,1418.24,1176.402361111111,1045.3444444444444,1155.5090277777776,936.0409722222222,886.6034722222222,1319.8145833333335,979.8748611111109,1163.9962500000001,1174.3594444444445,843.2525,651.9904166666666,1084.6770833333333,830.3787500000001,1097.5680555555555,1340.5405555555556,789.8373611111111,1275.3593055555555,895.0004166666666,1334.6158333333333,1010.0293055555555,1110.3601433691754
