,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,AVG
CRRT,2562.641474875482,2677.7946487379845,3079.146805806508,2061.7594712883206,1507.074179389884,2393.227643172009,2465.8593104556876,2822.999079653792,2002.7518721164358,2573.6356681915354,2602.4256941175013,2244.100922047008,2863.070887312209,2261.7442981470226,2938.2631309780386,2237.943757999537,3060.900533508261,1626.0838099686703,2943.602573745148,1783.4085334213678,2013.2020728858079,1567.5682295332742,1857.571695645386,2017.0412049986937,3451.650033297515,1740.9251409700184,1368.7095018954103,2856.26924801835,2125.0705019441452,1145.793829979778,2072.6358573012717,2287.8990842387757
CUCM,1361.430377118224,1530.94593207052,925.7684744206879,1760.9080077647097,1427.208972983126,1566.4342899051478,1329.4836672206918,1534.615000920482,1004.7792420062899,1532.5926023290958,1315.3334114867778,1542.6882592715558,1347.44348152901,1493.170532210092,1098.410742542542,1351.618966827542,1635.5585015335057,1725.2366865680176,1370.5752780185298,1499.3194080566,889.4110406162558,1050.8892764493119,1098.214710368902,1427.970231257428,1388.3129225300559,1291.838955476024,1432.054234874928,1259.509982839894,1698.216918634638,1653.7698904646618,1494.18989951302,1388.319351542202
DRYB,716.4259729702815,754.7168943014236,697.0813968139175,672.4805091845011,631.4374067899405,696.3186832390156,801.4752862495085,785.7063518303511,676.4594441615341,809.330223619351,742.6974058190631,842.5082641275881,974.1151664446936,679.7077265325215,662.436988835349,735.6423052512195,745.100291063887,649.3696128972051,834.594267078273,843.483592548591,621.3112028895271,549.2583939330771,775.494089539849,679.952402347479,843.0904238252456,665.6194618492101,665.38322313132,775.814699228414,679.3179326480032,683.5651673117826,744.4320729761411,730.1395761109118
FESC,9206.668372404554,8832.534748827862,9180.808004018754,8544.568004018754,8562.390294708639,8684.309089082384,10614.030904219693,11601.734306764904,12331.127227059613,12856.493556597457,12613.564072337575,12276.98799732083,13738.563415941058,13076.945894172806,12786.451741460147,12734.062913596785,12829.444876088412,12956.831413261887,13072.258425987942,12812.615994641661,12120.791848626926,11840.973442732753,11959.643636972538,11637.729129269926,13047.455478901542,12865.956121902213,13363.351788345612,13627.551862022772,13397.361808439384,13150.94474212994,13106.92490288011,11917.131484346304
FRSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAP,2079.1728478233117,1469.0033754768992,744.6082482211389,1148.632013770737,1087.1062226307056,1375.0675516694205,1916.0359575524515,1813.0312909420365,800.6236945565669,1814.2842231713894,870.651525824351,1152.9149963914845,1409.531711325127,946.7011028066784,957.6621289763925,958.407921970055,1370.1538412597472,1066.4711959146266,1058.5956219015504,993.4985477404379,1046.215458206753,555.7606772030455,846.4580011099395,1013.34090304611,1506.7618093274693,519.830501605511,1142.8105667459201,1588.4197496221389,1034.2358918914085,495.820228883828,1004.0632382049486,1154.3829369603932
HAY,515.5607507739938,473.8841021671827,731.4341408668732,460.71588235294115,458.47617647058826,445.08407378740975,477.3075541795666,446.00257481940145,645.8301754385965,423.7397187822497,388.6506759545924,363.6083565531476,444.88571723426213,412.25196594427246,420.4449277605779,358.48826109391126,375.5569040247678,498.1247368421053,430.8248968008256,491.04092105263163,413.3528637770898,439.47738132094946,403.12975748194015,376.1436532507739,372.56028379772965,420.73474200206397,545.1121749226006,442.90179824561403,442.40544891640866,451.3675206398348,500.2810371517028,453.85094110989047
HMEL,4120.02175,3841.0222499999995,3829.9950000000003,3953.1277500000006,3541.7037499999997,3859.6317500000005,3872.4725,4595.032,2875.08975,3924.7844999999998,3634.2377500000002,3915.5155000000004,3512.1547500000006,3662.50625,3640.9230000000002,4020.16225,4571.5962500000005,3221.0035000000003,3798.6585,3172.1982500000004,3614.67275,3013.8387500000003,2905.058,3774.2737500000007,4147.4745,3693.27075,3297.0925,4274.71525,3893.9192500000004,2961.9590000000003,2699.52475,3672.1818145161296
KALE,4400.33840640009,3947.9502261553207,4385.29203534807,2957.590832248206,2719.2690044947353,3427.635838281732,4195.907169829452,4685.784380599014,2386.3635129293193,4246.956062458956,3749.9272934002115,4197.9919079872625,5300.211100179303,3162.0130047398975,4508.889815869362,5156.065052685162,4382.373401927136,3563.7148555130434,4516.295168369062,3594.8590307749355,3275.295863419503,117.86928262678799,1944.371831236758,3965.008822733574,3816.2491590554105,3794.1509345826244,1832.176662030792,4440.383507187937,1133.118637322364,3265.6244911830545,1842.2287255830151,3513.287290875874
LETT,1768.3057233228617,930.1267764885098,1933.8611252898168,202.41357259703582,603.8561907122976,963.1200238555897,1186.1217453728414,2048.0703328378063,2683.371626233036,2103.9993255723753,1085.7987067716558,934.2744990146567,2206.224007936641,923.040479567745,930.3841963306045,1587.0875929354909,881.4943673062758,848.4213560444621,1922.1122661587153,499.7316774007405,1545.670190595069,1779.9639416644934,1530.3301433851664,1466.7927627824856,2015.303687444401,1836.9099240569153,391.05337082621037,1495.0001764655497,1067.7140564566014,946.552700356263,531.327243794193,1317.6914125669844
ONIO,1226.5112361611382,701.2320330854818,995.8085015103974,216.68643751802742,451.69398962097904,630.9080029743499,937.8888874318753,1096.652938934837,1117.854095588562,1019.9797881705894,594.2255807246191,636.2425948525081,1098.785944105137,395.4735726436838,668.2002512636724,692.5794331646343,657.6253133498384,839.8330181702971,718.3002323526987,417.67124048483254,614.4731912073455,731.0968774062281,799.4916396830146,594.1507384379419,888.8782774044838,433.79975326376916,881.364943403056,795.5527178545588,640.8495533879712,460.65150256162235,487.13042639436134,723.9223455842746
PEAR,1791.606165694608,1237.005466784364,1009.96663451886,1120.0696062742302,1902.6374504323721,1166.29580376487,2678.1513789351798,2501.6835015200922,1683.9408048998102,2593.201268464676,933.6807785507001,1444.2023984329842,3099.9906912544784,1188.0385357266562,1432.3743017253382,1338.2042119739142,1568.0406132952041,1965.333309542628,1999.6366845110922,2154.2607890955624,791.648892244418,824.663996135274,2364.059523116606,845.3015935942101,2220.998282959098,1165.88532523524,1530.6365466644581,2548.856957156032,2358.4896452222424,1022.634633448672,1817.769435667794,1687.073071833602
