Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq),Protein (cropland),Protein (pasture/forage),Dairy (cropland),Dairy (pasture/forage),Fruit (orchard/vineyard),Fruit (berry/melon),Vegetables (specialty),Vegetables (field),Grains,Oil,Sugar,Commodity crops (corn/soy),Pasture LU (ha)
2030,766643.0,92742.08972027291,6097237072.706943,194877754823.5788,1359858608.140578,9889.377255579013,35164.73954321593,268.5174409430658,6276.441496104132,1044.2138706755602,681.580593229738,1255.393833493452,940.5486359128154,11588.787963325434,21646.49803117361,3985.9910566201497,397349.1555600993,41441.181039320065
2031,772596.0,93462.23411617134,6120223489.191656,195449007004.813,1364175822.451842,9966.168490615999,35437.794530349136,270.60248486303124,6325.178204358571,1052.3222146793946,686.8730817432921,1265.1419946203212,947.852017055784,11678.775160424575,21814.583571352778,4016.942366108476,397349.1555600993,41762.972734707706
2032,778493.0,94175.60409813226,6143024999.354971,196015695312.1988,1368457686.9677408,10042.237348840948,35708.28088330134,272.66791472965923,6373.456445342348,1060.3542833154793,692.1157837027123,1274.79845458423,955.0866951340785,11767.915846010603,21981.08792721311,4047.6025159577407,397349.1555600993,42081.73732864369
2033,784328.0,94881.47383609085,6165619409.371765,196577269166.15143,1372700014.0122733,10117.506432738282,35975.92339126746,274.71162903723496,6421.22709756218,1068.3019042229835,697.3033648343413,1284.3533882605748,962.2453091050551,11856.119322421404,22145.84168614901,4077.9403104923267,397349.1555600993,42397.15048882964
2034,790085.0,95577.90778320783,6187947940.000153,197132270806.60727,1376891704.361813,10191.769348933134,36239.988158767184,276.7280237705192,6468.359170369303,1076.1432844396936,702.4216004084268,1293.780595317082,969.3082295216635,11943.143729224654,22308.39308121225,4107.87256124393,397349.1555600993,42708.347329136486
2035,795762.0,96264.6639961283,6210002894.188267,197680508974.1373,1381031311.8802447,10265.00029825364,36500.38344886549,278.71639842760703,6514.836289932624,1083.8756998453325,707.4687123337496,1303.076800712217,976.2730027030232,12028.958833866316,22468.685641534295,4137.388869654015,397349.15556009935,43015.219738798114
2036,801351.0,96940.77470143262,6231754614.43079,198221247863.08972,1385113241.9569044,10337.096084012372,36756.742313822244,280.6739510008788,6560.592960927763,1091.488253958793,712.4375882454333,1312.228904279842,983.1298139256087,12113.443706130234,22626.493483641025,4166.447641488428,397349.1555600993,43317.33527475
2037,806861.0,97607.32864421787,6253235602.603441,198755292948.37817,1389143643.5938416,10408.172802482692,37009.47756984508,282.60383374890665,6605.702865594646,1098.9932053213208,717.336229553964,1321.2516437068623,989.889704753386,12196.734392509581,22782.07072644082,4195.095670260592,397349.1555600993,43615.18043543973
2038,812298.0,98265.05165454878,6274467436.232939,199283178876.41284,1393126600.9420953,10478.307851180174,37258.864427739136,284.50814817740525,6650.215125426559,1106.398726293746,722.1699705329987,1330.1548441178802,996.5600362289986,12278.921590666483,22935.586782539285,4223.3641516461175,397349.15556009935,43909.07955316569
2039,817679.0,98916.00025094213,6295512023.250568,199806440427.02368,1397073815.3761923,10547.720523065613,37505.68265145219,286.3928485525663,6694.2689179878125,1113.7279718984214,726.9539249578996,1338.966343365937,1003.1616646399366,12360.26227731027,23087.52165431891,4251.341473392578,397349.1555600993,44199.95156944
