,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,AVG
DRYB,1205.883910308332,1191.775059108176,1143.8631472490222,987.8564976965896,1025.1754654455556,1115.434854905905,1230.9731371160156,1012.1506124766317,914.5199000503487,1201.899575589176,1070.5481485712742,1153.9917135366145,1215.2895861191812,1012.2910057718348,1009.3859445095533,1007.6296783839827,1263.6942244470767,946.3851282548827,1155.8471999236992,1035.3560042510837,891.8227590032428,867.9012264297014,738.9506597533277,1010.8027018491277,1246.1855606126007,894.83851497905,903.130493976989,1132.1754054233559,1025.3793057107061,857.97650040726,960.9624070842264,1046.1314944820815
FESC,9223.830481099656,8847.246281786942,9203.183738831614,8565.751120274914,8591.482103092783,8713.378955326461,10658.280453608248,11648.375828178696,12388.407271477661,12908.484316151202,12661.750233676976,12325.6427628866,13778.630817869418,13119.08384879725,12837.125388316152,12793.10560137457,12885.834549828178,13019.800735395189,13139.551285223366,12875.119993127146,12181.308865979381,11902.453498281788,12017.160591065292,11697.762955326461,13109.66166323024,12935.524274914089,13429.93021305842,13690.259903780068,13463.665450171822,13226.775862542954,13182.196302405497,11968.411785389644
FRSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAP,2335.765058130019,1591.7502480481232,2055.6750414301305,1398.5270029943556,944.4711817556276,1426.0297177635039,2724.5171140065345,2742.501379339424,2015.0719400180196,2752.57491184668,1566.4795851671506,1995.7921257132816,2735.3822525056344,1268.771807119829,1500.0272985946972,1284.4920580076723,1870.4445664313002,1792.151217956611,2596.3472609528217,2039.1695770618173,1024.5128820911743,1203.977311830431,1919.9279315608073,1251.469409666859,2235.75528309844,1250.8195043438104,1701.4713132757502,2500.4084502480778,1879.435633679183,1304.0691240913127,1759.562194970685,1827.979044635476
HAY,515.3273835403727,473.64011387163566,731.8689932712216,460.0760377846791,458.1748783643893,444.8419979296067,477.2069513457557,445.8647826086956,646.2618892339544,423.5658022774327,388.43408902691505,363.0943633540373,444.62219461697725,411.93004917184265,420.46593685300206,358.32958850931686,375.34399585921324,497.6697023809524,430.5997075569358,490.56894668737056,413.42156832298133,439.5338017598344,403.0728519668737,375.95662008281573,372.36197463768116,420.5452562111802,544.3852820910973,442.7033488612837,442.01688146997924,450.9871092132505,499.77301759834364,453.6337134341815
HMEL,1101.1105625,1539.824,990.2571250000001,1649.3213750000004,1458.8145,1353.2374375000004,1032.1260625,1646.243625,733.9109375,1090.8600625,1002.63475,1535.0928125000005,968.1522500000001,1443.8474375,1228.968,1394.7870625,1327.534,1090.1158125000002,1004.8715625,1247.7205000000001,925.3911875,784.4500625000001,758.7084375,1002.7785625000001,1327.86875,977.8949375000001,2034.777875,1677.1868750000003,1263.0889375000002,921.9291250000001,1087.2216875000001,1212.9266552419358
KALE,2538.695718581022,3151.6760701350545,2444.2881568743333,2206.6021095155725,2553.6164873962052,3105.995701979016,3532.600462224834,3472.817682095685,1546.971533358174,3085.2208330324925,2265.064123855302,2947.6747298801884,3983.6044281275554,2029.0510464964739,2095.8986287305993,1773.4971097963348,2709.4021071267152,1906.649724396186,2853.5792314629603,3178.2247573708173,1193.9683890304173,762.4107570742741,2286.509734643904,1761.6335253231334,2424.6074517435545,2216.199674252025,2193.46825912137,3697.1380976128835,1218.491902055736,1935.9383532107852,2207.884029252363,2428.367123088902
LETT,1571.4526965692532,845.5943231390044,1351.3032807422883,192.09822421045823,474.84256970206167,896.9503280904773,1093.7352142976492,1487.5369204968129,1964.1960382560765,2082.347906873565,969.5855913228189,850.9426628988489,1915.8546393261527,880.0703471855907,633.4340931321482,1180.1073557647264,771.5583931187939,472.92258450864125,1650.9276071387783,426.79015493621296,940.2771586382518,1165.177218195674,909.8122561162702,1139.805794860792,1991.8430785877697,1216.270364857684,409.6435834740616,1410.1979334720925,717.382393252575,559.4872043580638,402.6461145269776,1050.7998074855027
