,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,AVG
CRRT,4553.156113382093,4212.104837129078,4418.763101216497,3564.586524155308,3352.290834122343,4001.9747225208007,4259.169720948897,3694.461279754836,2880.0056871332654,4596.613148544383,3853.9853616088467,3660.2573152671525,3994.519079448687,3384.5561754898467,3938.3665749167094,3532.7612277141,4701.004278776359,2816.9614553697625,4305.396093964277,3092.957113404825,3189.7046286178247,2681.6744936688547,1959.06441972896,3624.295769764791,4519.9699693440125,3095.1668665681764,2534.4179634806146,4167.135364090188,3363.4981200601856,1930.6477390062107,2955.611122590125,3575.325067799613
CUCM,887.8174624047075,1077.2825582277674,467.40604601563996,1210.0208438037523,1006.5231115509624,1109.2407033354284,733.312254348171,790.9252933802435,405.6207888879294,990.9483553552644,846.0446398034703,1066.4199254059408,727.4566099613993,1058.6644025363084,641.6296403381899,832.1386074858829,1175.1083304791919,1060.7823668123438,672.0195280567309,1076.3661078160005,623.0580422879705,512.9598391659586,440.08487861528846,878.7852800042444,899.7443865692545,715.2152175183049,978.760871759921,688.8211189391259,1167.802864808208,856.1852207857228,1066.936143463193,860.131659352339
DRYB,1197.6351292473787,1207.1481249329263,1160.3580094998674,1021.4523432516092,1012.3261040956355,1079.8296303132897,1215.4421288341614,1119.0101591592288,1005.8821868393619,1214.8022593925623,1095.9485355188071,1170.1619162923023,1179.502795197673,1036.5925451972964,1050.1951705734027,1060.8792353319193,1276.121055975856,994.2180688854845,1233.0466380913242,1060.6416466784983,950.5496793674006,952.752099185901,871.4387324881627,1071.1022971066675,1258.7122873706596,984.8879894643602,906.4337862208565,1093.4950276915781,1075.5834081011583,963.2944207136833,999.7285057222101,1081.263610217459
FESC,9221.859065292096,8845.058158075602,9200.044171821306,8562.757793814433,8587.890776632301,8710.015072164948,10654.466302405499,11645.132735395191,12382.897347079039,12903.443237113399,12656.997134020618,12319.74694845361,13772.661477663232,13112.76504467354,12830.545704467353,12783.893649484535,12877.436501718214,13011.073505154642,13129.825072164946,12865.845731958761,12172.321120274915,11893.223780068729,12006.79732646048,11687.11528522337,13099.252577319588,12924.137766323027,13419.890632302404,13680.739931271479,13453.130632302406,13215.080625429553,13170.03833676976,11961.1639820419
FRSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAP,2592.4009505977847,1766.9657885606284,2412.7298296574268,1444.108805348445,1207.4889314120192,1684.0282805725465,2860.9290450587796,2759.618393962541,2545.636533639459,2847.5154253584783,1958.941428477855,2216.1302731794926,3096.700845819555,1475.3394196673437,1882.889720658403,1853.7611771630707,2084.505267727998,2051.0053118712412,2999.145795155688,2113.8863154226137,1431.723314560836,1926.049826620214,2360.912132457757,1730.9919308020367,2505.9582155394887,1641.0993704387708,1627.0060136956745,2586.5677839687814,2164.294463864262,1721.264659327553,2048.1052425444564,2116.054854617136
HAY,514.6041502079003,472.8752572765072,731.8659147609147,459.03447765072764,457.3154391891892,443.9718451143452,476.49172817047815,445.32000519750517,646.0874142411643,423.05046777546784,387.8548934511434,362.2584173596674,444.05598232848234,411.1321361746362,420.18510135135136,357.94919698544703,374.8511044698545,496.64221933471936,430.1098674636175,489.6301793139293,413.23826143451146,439.3739864864865,402.7708679833679,375.49345374220377,371.8540618503119,419.93828482328485,543.0547531185032,442.19602650727654,441.16761694386696,450.1702442827443,498.8839786902286,453.01378495741403
HMEL,1104.8236875,1526.812625,993.4575625,1637.1639375000002,1458.7543750000002,1336.7518125000001,1036.065875,1721.8345625000002,736.2281875000001,1093.79075,1006.5664375,1695.0212500000002,977.7990625000002,1434.6125624999997,1311.7845000000002,1308.965125,1406.8145,1093.717625,1010.446125,1314.2325625,926.085875,784.6986875,770.14925,1006.2723125000001,1300.5451874999999,987.5523125,1967.8628125,1642.46875,1341.393625,953.90425,1140.6589999999999,1226.685006048387
KALE,2994.322364746713,3230.810658816048,2821.1453672537523,2208.394207410237,2553.0713477909644,3107.8784406631503,3535.7923128825987,3461.8048261750796,1466.9913955982668,3079.382271322203,2360.150196614595,3093.128594479539,4049.5041666775087,2091.651460309719,2062.4055621530133,1784.713260059037,2669.613390286227,1879.352603213085,2845.769880015909,3157.9522973716407,1181.7538952151242,734.4001633912021,2236.318044909102,1654.1801642748694,2388.3187642450293,2242.853245829889,2193.018939779283,3705.865510770423,1165.1070667947479,1990.269737287524,2267.6176043815144,2458.501217442516
LETT,1393.1558655083888,814.5701136278816,1284.0771399168477,200.30174883860772,449.0547319167322,878.4094880138316,1082.3411338801554,1451.2784719843546,1952.342888898973,2080.6374618581544,969.8804404791539,780.2652407190591,1877.1115668199873,894.4001228196831,616.4528078155007,1307.9476584143292,797.6682722972992,499.0324636871465,1588.73522921561,426.59820973498233,986.0950113531081,1214.1637662741782,969.0971974219102,1086.691358593601,1981.6534543079981,1166.919654077956,405.7822858426396,1398.1267130391466,762.6110808358758,547.7881443430596,418.70339697214536,1041.3513909518804
ONIO,1284.751638896024,840.4990389234548,1002.6157476759007,537.3543886451561,575.7501196730627,967.2930862979218,1213.8102229183628,1048.4402686406556,1027.354021356375,1409.440274468511,896.4669576810511,750.5118989489494,1147.7650548536244,469.3417756200397,782.0262975073692,910.2283626488689,871.4999992357303,955.1217649292051,976.8638272002787,438.87378310682897,683.0007544439934,848.9622651795281,767.5284393987631,871.3160434469278,1034.3191419077477,542.8440829726403,681.1315872337976,965.355250659714,974.1359896471452,782.9630860619903,596.9516543181342,866.2747362741209
