,RCH,GIS,MON,AREAkm2,FLOW_INcms,FLOW_OUTcms,EVAPcms,TLOSScms,SED_INtons,SED_OUTtons,SEDCONCmg/L,ORGN_INkg,ORGN_OUTkg,ORGP_INkg,ORGP_OUTkg,NO3_INkg,NO3_OUTkg,NH4_INkg,NH4_OUTkg,NO2_INkg,NO2_OUTkg,MINP_INkg,MINP_OUTkg,CHLA_INkg,CHLA_OUTkg,CBOD_INkg,CBOD_OUTkg,DISOX_INkg,DISOX_OUTkg,SOLPST_INmg,SOLPST_OUTmg,SORPST_INmg,SORPST_OUTmg,REACTPSTmg,VOLPSTmg,SETTLPSTmg,RESUSP_PSTmg,DIFFUSEPSTmg,REACBEDPSTmg,BURYPSTmg,BED_PSTmg,BACTP_OUTct,BACTLP_OUTct,CMETAL#1kg,CMETAL#2kg,CMETAL#3kg,TOT Nkg,TOT Pkg,NO3ConcMg/l,WTMPdegc,Salt1,Salt2,Salt3,Salt4,Salt5,Salt6,Salt7,Salt8,Salt9,Salt10,SAR,EC
7599,360,0,2040.0,30610.0,303.7,292.1,0.0,303.7,2842000.0,2131000.0,212.2,27470000.0,25240000.0,14350000.0,13290000.0,79890000.0,76110000.0,0.0,0.0,0.0,0.0,2074000.0,1954000.0,1102000.0,1012000.0,666000000.0,625900000.0,50010000.0,49670000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101300000.0,15250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7961,360,0,2041.0,30610.0,536.9,536.1,0.0,536.9,5507000.0,4693000.0,274.7,44340000.0,42520000.0,22280000.0,21320000.0,98150000.0,97520000.0,0.0,0.0,0.0,0.0,4271000.0,4261000.0,1869000.0,1799000.0,811800000.0,779100000.0,79240000.0,80750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140000000.0,25580000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8323,360,0,2042.0,30610.0,317.0,322.4,0.0,317.0,2580000.0,2275000.0,222.1,15490000.0,15710000.0,6916000.0,6964000.0,66050000.0,68380000.0,0.0,0.0,0.0,0.0,3022000.0,3095000.0,770700.0,781100.0,219500000.0,210800000.0,42530000.0,43700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84100000.0,10060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8685,360,0,2043.0,30610.0,301.2,307.0,0.0,301.2,2411000.0,2154000.0,215.6,19010000.0,18960000.0,8235000.0,8231000.0,85340000.0,89840000.0,0.0,0.0,0.0,0.0,3148000.0,3166000.0,897100.0,894400.0,145300000.0,150900000.0,39270000.0,41140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108800000.0,11400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9047,360,0,2044.0,30610.0,212.5,212.8,0.0,212.5,1533000.0,1285000.0,187.2,14230000.0,14200000.0,5969000.0,5972000.0,55070000.0,55520000.0,0.0,0.0,0.0,0.0,2858000.0,2863000.0,653200.0,642400.0,104100000.0,109500000.0,26000000.0,27310000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69720000.0,8834000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9409,360,0,2045.0,30610.0,156.0,156.0,0.0,156.0,997100.0,830000.0,165.4,10920000.0,10750000.0,5110000.0,5064000.0,36380000.0,37610000.0,0.0,0.0,0.0,0.0,1839000.0,1807000.0,510600.0,500900.0,90980000.0,92870000.0,20760000.0,21440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48360000.0,6871000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9771,360,0,2046.0,30610.0,212.0,215.1,0.0,212.0,1588000.0,1344000.0,183.1,11790000.0,11200000.0,4631000.0,4308000.0,31930000.0,32500000.0,0.0,0.0,0.0,0.0,2935000.0,3087000.0,628500.0,614800.0,32240000.0,32290000.0,18870000.0,19850000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43700000.0,7395000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10133,360,0,2047.0,30610.0,128.2,123.8,0.0,128.2,855500.0,646700.0,145.2,9494000.0,8554000.0,4409000.0,3927000.0,52080000.0,51220000.0,0.0,0.0,0.0,0.0,1625000.0,1557000.0,416300.0,371200.0,81660000.0,71520000.0,20880000.0,21460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59770000.0,5484000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10495,360,0,2048.0,30610.0,232.5,234.1,0.0,232.5,1711000.0,1478000.0,194.2,11890000.0,11970000.0,5170000.0,5211000.0,70500000.0,71410000.0,0.0,0.0,0.0,0.0,2866000.0,2933000.0,615200.0,615600.0,81300000.0,85470000.0,28010000.0,29160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83380000.0,8144000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10857,360,0,2049.0,30610.0,170.4,169.7,0.0,170.4,1113000.0,937700.0,171.4,12720000.0,12390000.0,5821000.0,5708000.0,46010000.0,48040000.0,0.0,0.0,0.0,0.0,2392000.0,2326000.0,595500.0,576300.0,67260000.0,69200000.0,21520000.0,22520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60440000.0,8034000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11219,360,0,2050.0,30610.0,172.3,174.4,0.0,172.3,1155000.0,981900.0,171.1,7974000.0,8169000.0,3485000.0,3589000.0,50370000.0,52190000.0,0.0,0.0,0.0,0.0,2198000.0,2248000.0,410100.0,413600.0,61210000.0,66020000.0,21150000.0,22260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60360000.0,5836000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
