,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,AVG
RASP,2100.1274850576506,1576.721955487209,2400.823685695541,1855.463828823928,735.3635591616039,1348.588718660281,3051.703708678555,2763.251647842482,1816.2741956028508,2567.2496856844687,2346.177971883387,1583.010555815738,3064.256384664562,1078.152797625641,1064.654735126539,838.0768371152969,1905.9624998732,2108.783111701812,2696.9875688995216,2600.055784366497,674.9735344945689,682.2431216651379,1748.740371594186,846.9088831673408,2098.872771241945,1275.7789259019669,2204.237087024409,2473.36054259861,2587.4595968673348,1779.082136394799,2624.0369570622697,1887.0122788961073
SCRN,1029.5140832451284,1045.3075789913044,917.683173981105,879.6337411171395,1068.939700386326,1160.397832598026,1716.153541237262,1494.8916080973042,573.14887798941,1053.902168537398,768.6997890169143,889.0547911937557,1181.9368039561239,711.8810025255423,596.2417751362954,606.69477592979,728.7289479141101,799.1925827651348,1073.3412401809178,1331.6416544651086,255.39730292878713,272.32549448501914,744.337202506893,613.2059649733487,785.1240046416476,490.8995559903174,1872.2473366278498,1353.7798472060451,809.6748321617969,529.2137262111563,974.2724714322411,913.7891422073936
SGBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNPB,1254.2242579565734,1172.331262690298,1070.499719634107,985.7499233007761,968.8293251319049,1039.3440512929496,1236.5190097604245,1054.8472171544809,761.2438325928415,1251.5404173794016,994.1895514973962,1107.1707183282886,1225.9903563298913,966.6069937643254,877.0210533919035,861.032754448991,1231.8651070179915,890.6984314480278,1216.2590085722368,1029.3773085271118,779.0486385343868,827.6345057072924,852.9044551341615,1038.1527331870184,1209.1456920346275,895.2038412820727,929.6879444163587,1119.0822119681852,980.7526307076959,879.7470794544129,922.5105059410365,1020.297114147973
SOYB,897.2241151080432,881.6560000160529,1017.8169685174527,869.7150643883148,894.0953606167533,879.3702694169139,911.8044057128684,1162.7601932555992,1128.9584776979889,1095.165092211896,852.1941241737471,957.2787287334663,1124.1756231066056,853.1710541408311,1034.4150331745984,978.2426208514412,1115.2420171104168,824.1145471531485,1137.9008632259918,540.3145041481681,864.7717276585528,816.9532883447172,817.497612479352,832.5506330950665,1129.0425433653957,932.3938971496957,760.7279154528935,1114.3769092369573,865.6469908706193,852.3430815263324,763.9369531516436,932.4469875835977
SPIN,2454.425681742342,1865.9199619307365,2482.4552128760715,2443.186223848062,2340.135577289751,2528.9267456373404,4760.278646434803,5111.980771716559,2344.2472701020833,2792.7129701825397,2923.5450187134056,2995.1285821973383,4111.679216214456,1972.2676672060188,1889.6848439199016,1799.8088361110551,2537.284959436343,3525.0021743304064,3797.438929220649,4368.454375694149,1997.7229999188,1694.3176862962641,2505.5595501119747,1630.4748462330695,2372.5849799200105,2363.770163144053,4032.3968506749147,4439.698036217569,3657.147381298719,1881.1872699070896,2312.15589859023,2836.5025589392494
SPOT,1321.9889842295254,1000.2515133044545,1387.7173359247465,599.6747429197387,517.5367988711599,888.3484890546399,1397.5910387748702,1596.594794567783,1380.8924445047028,1690.6241618087538,834.4999157859318,1138.3076231029243,1543.072274743681,836.4467089178476,972.7444590686218,1409.5851476300115,1273.4027865229452,978.6462381390024,1627.910745861056,777.6353481546204,935.8623096852929,1158.063497723811,1315.6245903692331,881.3902121345303,1616.861980272256,962.2408802459643,1017.3513226898999,1678.1208591001862,1245.0107300803252,902.5625137323079,1033.6741086067068,1158.7172437589525
SQUA,999.994125,961.6538750000002,938.4789374999999,1127.5086875000002,1012.7836875,973.2230625000001,988.96525,990.3741249999999,597.790375,864.166875,831.9171249999999,1111.9346874999999,720.997875,954.9897500000001,894.560875,970.0518750000001,1117.9634375,1011.3813125,992.2323125,917.2076874999999,903.4455625,712.2675624999999,605.310875,911.441375,1029.4984375000001,785.3243124999999,1015.4722499999999,949.897,1079.531375,755.4828125,950.7143749999999,925.0503830645159
STRW,464.31721462584073,394.0560737456843,476.9304515093235,566.4692457778415,340.64222751718734,574.2125294826578,792.56923043848,946.5359625559117,398.0175071770347,735.2083174312631,423.47726801767095,789.4667175965535,725.6917783160228,616.8619901959864,272.3373458369179,425.3866645649292,488.33688957182324,434.60971349071275,691.0414645496011,708.9494970538309,221.49547249248306,160.10539754865675,417.53597302854007,265.0815021320734,658.1862982357075,323.8616351813134,766.3853218926222,885.3049469804976,313.3298526135,205.45236832498767,469.2873923097645,514.5530403288845
SWRN,10494.147090301003,11195.697625418059,10457.529999999999,12120.12347826087,12626.663879598664,13345.236923076922,14123.449498327758,13702.693511705687,13342.880267558528,14432.277892976588,14463.728260869566,14579.32531772575,14222.156020066888,14355.163411371235,13887.29923076923,13524.218327759198,14118.802073578596,14681.025183946485,14030.811137123743,14623.769866220735,13657.626488294314,12874.67227424749,12014.948963210703,12197.5254180602,13429.411839464883,12555.015150501673,14350.288227424751,13805.71822742475,14061.097257525083,13912.360702341139,14423.367792642139,13406.742946380406
