,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,AVG
CRRT,4459.62057963899,4076.1959221662005,4271.564608449638,3653.8965871297596,3247.2985401524734,4019.064577542265,4206.26904447463,3888.657090388263,3008.188695211028,4630.663790291999,3885.763015390711,3667.8931342146,4079.810700665089,3437.7375105391525,3736.77922224374,3549.936839522382,4673.661723464254,3012.300689827425,4438.588511114426,3080.7527965414565,3300.8471567938063,2861.0499723258904,2426.940455153374,3633.3314166667574,4390.2260145001355,3107.600734426562,2563.610786435572,4029.8604041494164,3476.28302063825,2258.9299163250985,3123.777582848978,3619.261323846204
CUCM,883.9286741601239,1107.480497776286,411.572815760074,1324.4774955863604,1026.275803447363,1167.1183858019149,710.1829082608214,648.4393079700095,375.4726741835445,990.9557065617759,871.5402575867994,1149.8585697136364,693.125658751971,1072.555732440873,605.077807961565,805.0575794982404,1210.544413067516,1126.436808967274,600.9603155144015,1077.5218808397528,592.9907908552119,452.64318973910093,332.2769847219705,795.490392623885,894.1019271713163,595.7523941013654,1057.502095106768,607.3525979765126,1141.2029324467069,778.7484281943056,1056.5595070718489,843.9743398019127
DRYB,1167.42424703584,1126.9997525982687,1082.6084726034414,959.4680284516309,971.1226968567927,1052.1316530923352,1206.1214989617529,984.0260556279444,847.8607585072101,1180.5172717490693,1012.2997803527851,1114.0113478886765,1222.274827523306,989.2887792947682,899.7630797954084,971.4365568677036,1189.8878492361173,872.5234056871607,1114.7646119148628,1006.8757393900306,861.7185216986375,828.0761033678052,741.4804389380467,976.556862336028,1205.2042177685742,891.9773266215194,862.1660253270977,1045.3455271790035,975.3567696491468,892.4302299921028,923.2263092562431,1005.6433788893326
FESC,9224.318803009575,8848.57638850889,9201.63123119015,8564.383310533514,8588.35493844049,8710.720533515732,10650.595191518469,11642.000307797538,12376.618850889192,12899.661922024625,12653.847831737346,12316.306347469223,13773.929268125858,13113.313974008208,12829.594801641588,12780.501169630643,12874.843050615595,13007.644904240768,13125.41305745554,12861.822927496578,12168.295800273598,11887.841764705883,12004.280239398086,11683.479904240767,13096.395800273598,12919.24343365253,13416.700930232559,13678.748994528045,13450.476792065663,13210.731395348837,13165.261504787963,11958.88823772119
FRSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAP,2362.1054012476166,1591.1259127705714,2103.976857373964,1379.4400294494073,901.7415048930158,1460.8156338250476,2745.567653961939,2703.921507777263,2066.0330406935404,2743.0340886206113,1596.4178467698882,2086.8555810765974,2796.013092053271,1291.415147825985,1501.6978749005011,1417.6704437231094,1894.8160160456289,1823.226281165403,2649.535086423706,1997.7120099626811,1109.2296390784222,1276.8934928208137,2088.0935974460776,1269.0339000861734,2301.2913097072515,1291.6580632582063,1691.8495182389415,2463.8454160244924,1998.4471487707199,1376.7487821608484,1920.35090273007,1867.7600897058635
HAY,515.1489724245578,473.41447710718,732.3941337148804,459.46125130072846,457.7715998959418,444.5084339229969,476.9364880332987,445.79009885535896,646.7814568158168,423.4199765868887,388.21531737773154,362.5619979188345,444.4574661810614,411.551030176899,420.59818678459936,358.24565036420404,375.1696201873049,497.1972346514048,430.4593418314256,489.9693028095734,413.62851456815815,439.72329084287196,403.0782258064516,375.8048491155046,372.1666779396462,420.3759703433923,543.6305957336109,442.64489073881373,441.6454682622268,450.68933922996877,499.3605437044744,453.44517429760657
HMEL,1105.8246875,1666.301,994.5853125000001,1654.1655,1544.5373124999999,1369.9895625000001,1033.6226875,1779.1629375,736.1550625000001,1071.1016875,995.4254374999999,1689.1850625000002,975.0170625000001,1459.8130625000001,1443.498875,1312.621375,1340.678625,1099.5099375,1012.0743750000001,1256.8440625,927.02025,787.1556875,771.6978749999998,1011.8160000000003,1279.832125,989.2244375,2016.7273750000002,1699.7849375,1293.57475,946.5137500000002,1120.0255625,1238.1769798387097
KALE,3287.073986576919,3101.5879698739323,2957.5222042218934,2207.7920935944717,2574.5221380532507,3474.4414470956194,3793.1085655037186,3660.482962351215,1056.8625411412531,3110.328331715682,2361.0488352987695,3030.754782639969,4238.830763117181,2236.246827145947,2078.2120209681602,1765.3057721650891,2574.3887666058868,1857.3786861087153,2710.3875019950965,3272.162281840683,902.246187594906,183.83246972937002,1826.830150320483,1566.900853225785,2111.9795996509984,2251.575479513745,2197.978285831713,3748.5521431371094,790.162377073146,2000.5043772871081,2132.7971992554153,2421.3483096978457
LETT,1581.763352962023,897.8519373551466,1634.3590040047768,205.58397414025063,609.4334784427211,966.3838387300699,1296.876152571126,1750.127553040319,2463.722760836391,2072.952722454442,1043.7644138817234,905.6209193749547,2107.1211009979447,972.3112131802935,823.6507211894319,1457.187718276684,870.4800184785502,745.0251681353521,1788.0628561579722,510.4137477578914,1201.8712756787024,1494.7577923308845,1294.027365876195,1431.0058596477174,2043.041261929342,1659.5614089263534,409.20370905457486,1530.1658169656682,930.2005687547603,917.3402402723111,490.8673280992431,1229.185009016252
ONIO,1291.2612798744374,834.1777636328907,998.4943820240301,550.8776590644555,553.5317883049527,958.0537178096404,1201.3547780539272,1086.4447786245676,1030.336373083057,1453.310580170028,903.1750441165632,737.6759427953472,1134.9813875030038,474.56687600472554,822.7422654193845,896.0725867091661,883.8615762490301,931.926955915054,1018.1669416710749,431.1293703953574,671.8840289330011,857.1539676514443,745.8392959162493,826.8333917635068,1041.8367598111067,555.8854144247002,681.9612782401433,945.3254891898916,976.0202765112151,777.8179938457218,599.0495062931768,866.8306274193822
PEAR,2168.733089254517,1847.2923145296443,2571.627238667815,1620.8353694105385,2336.6873713198943,2453.9254522859096,3274.077793197712,2926.488182909486,1873.3301855674047,2582.9320880190094,2324.079816481259,1563.6886387305112,3928.373352223016,1530.3325219073474,1514.357238824517,1276.0712948471507,1709.097274787135,2507.69813966744,2560.8609732335194,2633.6401697628407,1074.372069043729,702.821338432486,1973.5816726116548,770.569240984342,2482.7293171079464,1819.9345971427656,2269.387837623481,2715.667312242133,3381.3218496555046,2571.061590232479,2865.602940082675,2188.1025248640603
POTA,5011.342992388374,4531.896222706698,5578.339346407023,3927.8769234990937,4975.429475803144,5365.874241258245,7066.145562290026,5383.3996139058045,6178.964725668502,4937.090672069887,5480.661991600757,4276.4576970049075,8001.9941099792795,4359.162000121226,2941.0645286338295,4345.130057237299,3688.029680693908,4785.983955566548,6478.943422241537,4876.138791615125,3600.3752934640283,3574.25079052253,5121.839117197017,4039.5025905979783,4950.943709005314,5382.281716381442,3606.241079621693,5032.845581891078,5112.657748609141,5344.160987354642,3841.6940112302595,4896.668343115044
PUMP,1034.0711875000002,1514.0888750000001,747.1368124999999,1635.2301875,1438.6441875,1363.711375,911.9532500000001,663.2315625,158.14256250000003,996.640125,1142.04025,1640.4220625000003,770.627,1364.0729375,973.9023125,1131.2998125,1510.383875,1473.255875,776.6980000000001,1390.7603125,583.80075,602.3769375,359.9675625,828.7191250000001,1292.1439374999998,705.1671249999999,1374.6354375,623.1980625,1326.8084375,883.43125,1201.4786875,1045.7432217741934
