Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq),Protein (cropland),Protein (pasture/forages),Dairy (cropland),Dairy (pasture/forage),Fruit (orchard/vineyard),Fruit (berry/melon),Vegetables (specialty),Vegetables (field),Grains,Oil,Sugar,Commodity crops (corn/soy),Pasture LU (ha),Cropland LU (ha)
2035,795762.0,73572.16911932145,441812469.96803814,8965065449.045923,95906794.88810007,6078.668862819958,56045.70555376051,165.10129856130743,10003.94944511551,135.86047259406817,153.58368991642234,293.31680520119073,44.116380834446666,648.6346175068359,1.5890278350344085,1.642965176158466,531487.8440260357,66049.65499887602,7522.514120445422
2036,801351.0,73576.57104298829,520135419.5794395,10575186667.229546,112984640.37128615,6079.934848412923,56045.70555376051,165.1356836989215,10003.949445115511,136.24937904394832,154.03165141851835,293.7083421436787,44.518454181630666,649.2449040357856,2.002929344626408,2.0898518322384656,531484.3342421498,66049.65499887602,7526.916044112272
2037,806861.0,73582.14589362768,464625464.17443174,9508931073.759205,100999151.77268007,6081.646509321196,56045.70555376051,165.18217371919235,10003.94944511551,136.64760984563105,154.60075972157435,294.2211905886415,45.10804215975104,649.8806209053847,2.5700546862824085,2.6339338039983007,531480.0188685902,66049.65499887602,7532.4908947516515
2038,812298.0,73588.39418836722,532491707.9890719,10855670580.810436,115642175.33662084,6083.636253483745,56045.70555376053,165.23621669347756,10003.94944511551,137.16487139711103,155.21713373068633,294.7601473611893,45.78887293619904,650.5305288276852,3.167677164898408,3.237487896195773,531475.0342150218,66049.65499887604,7538.739189491187
2039,817679.0,73595.72558509395,372107717.3737793,7709738453.947325,80911851.54805243,6085.773070673548,56045.70555376051,165.29425428374384,10003.94944511551,137.94855803513516,156.0465631519393,295.4769658967806,46.42157794590279,651.211105230985,3.912099285818439,3.986391714075772,531469.1942837009,66049.65499887602,7546.070586217928
2040,823018.0,73604.51820460046,408950647.82138866,8258365155.260455,88757589.61772826,6088.594382160257,56045.70555376051,165.37088326298476,10003.949445115511,138.73396488708354,156.77346326307102,296.2247045137833,47.33261166696521,652.1476522346011,4.9315276115736895,4.7540161241141945,531462.136570247,66049.65499887602,7554.863205724433
2041,828332.0,73614.69701646596,380383569.0828587,7699788167.4584465,82484498.02887306,6091.769454623503,56045.70555376053,165.4571206610958,10003.94944511551,139.72319067669153,157.7109482952339,297.1969789631608,48.34740754854872,653.1687323758748,5.91202009873913,5.756164347074196,531454.0982323932,66049.65499887604,7565.042017589923
2042,833640.0,73626.30123825095,393114695.34436035,8023560111.031528,85327000.54877579,6095.331589652011,56045.70555376051,165.55387097471373,10003.94944511551,140.67391237673638,158.75328205639337,298.3607979856572,49.530495366387456,654.3112657350486,7.059321268583408,7.0717039593973166,531444.7328954157,66049.65499887602,7576.646239374928
2043,838955.0,73639.2974900711,431609426.2603082,8772052423.459755,93792450.08335643,6099.371528920428,56045.70555376051,165.66359881717017,10003.949445115511,141.88075955570005,159.96004206337673,299.5413718532296,50.83003887263967,655.6734046829191,8.29128110439844,8.430465325218764,531434.3909904107,66049.65499887602,7589.642491195081
2044,844291.0,73653.72712873042,503669900.4172412,10284742425.114178,109299515.04853138,6103.735703956517,56045.70555376051,165.7821331512271,10003.949445115511,143.2314427741932,161.3423849917216,300.85774492610227,52.15706485395226,657.1912736864559,9.81592536932275,9.958456144898204,531422.7481925918,66049.65499887602,7604.0721298543895
2045,849660.0,73670.23626169283,489774895.45996755,9972501346.651682,106478817.73544717,6108.898040032834,56045.70555376051,165.9223461500011,10003.949445115511,144.6572721507928,162.92503186935772,302.4956080765866,53.60691780092248,658.961991623427,11.762835794754428,11.351219318136522,531409.7642693595,66049.65499887602,7620.581262816813
2046,855071.0,73688.52539938223,440707982.8849345,9028154795.9313,95738308.25669505,6114.930984091208,56045.70555376051,166.08620552787863,10003.949445115511,146.3006473882396,164.68334839794483,303.9534997265058,55.44465636486196,660.9100265211146,13.329663944231584,13.231368544217633,531395.3723929626,66049.65499887602,7638.870400506202
2047,860540.0,73708.7552185247,558712720.012825,11440906908.970713,121404497.04404742,6121.333790442447,56045.70555376051,166.26011064870073,10003.949445115511,148.36901799750345,166.44176389597513,305.9481171634955,57.57128504299439,662.8068148152137,15.20873262944124,15.160587012908232,531379.3720093402,66049.65499887602,7659.100219648679
2048,866088.0,73731.46789911465,448936309.28061914,9239018151.50534,97471942.97379054,6128.863120698439,56045.70555376051,166.46461302094946,10003.949445115511,150.39135303113673,168.49051729784708,307.81669849468165,59.85037448388831,665.2235646251734,17.364082279312285,17.34857630719359,531361.4973136615,66049.65499887602,7681.812900238621
2049,871726.0,73756.23691474229,441608880.01699173,9033834811.434807,95889370.45812589,6136.78841464297,56045.70555376053,166.6798700700257,10003.94944511551,152.8283208136417,170.81266296851356,310.0523849656299,62.216060043498885,667.889621650087,19.571035942711067,19.74354476917574,531342.0827948347,66049.65499887604,7706.581915866254
2050,877459.0,73783.11341911697,416900374.4641034,8578522192.778701,90480487.58489269,6145.636794522153,56045.70555376053,166.92019883956146,10003.94944511551,155.22414375180787,173.53408105416452,312.5372549070352,64.9456082869894,670.3554272252537,22.216442603713443,22.088469050257498,531321.2344380803,66049.65499887604,7733.458420240936
