Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq),Protein (cropland),Protein (pasture/forages),Dairy (cropland),Dairy (pasture/forage),Fruit (orchard/vineyard),Fruit (berry/melon),Vegetables (specialty),Vegetables (field),Grains,Oil,Sugar,Commodity crops (corn/soy),Pasture LU (ha),Cropland LU (ha)
2037,806861.0,73728.1886263374,466482863.42865133,9562651319.406452,101373628.37009436,6101.725039128289,56085.6978119022,165.72752195565067,10011.08791406139,147.56604284117492,165.8008718131138,304.5152136440635,56.54819439809243,662.3564414885975,13.469878224247427,13.693696880584348,531711.560538317,66096.7857259636,7631.402900373813
2038,812298.0,73766.96897324371,535549356.39443713,10941391203.528128,116268802.96644449,6113.5666303112175,56085.6978119022,166.04914863501986,10011.08791406139,151.310110032206,169.48767205667284,308.16740808521115,60.17215836379626,666.5498037780344,17.359117595319887,17.521198422638633,531680.0541177272,66096.7857259636,7670.183247280116
2039,817679.0,73813.07624928377,375166679.2399426,7800802070.607218,81534484.62079449,6127.742819141202,56085.6978119022,166.4341847732435,10011.08791406139,155.80288071475206,174.00311558799842,312.4810709420857,64.58276647751327,671.240127667198,22.09730096976447,21.906257046411117,531642.8645949644,66096.7857259636,7716.290523320168
2040,823018.0,73865.55741933166,413102844.48277426,8357564447.347286,89615255.99129675,6143.698241779246,56085.6978119022,166.86754626341255,10011.08791406139,160.53834348314953,179.16370523095782,317.542766546315,69.7150550335155,676.7686027561291,27.526814805105406,26.95061747023679,531600.5299758991,66096.7857259636,7768.771693368068
2041,828332.0,73927.53810684156,385357595.59673274,7821442719.613137,83512041.54920875,6162.67976135809,56085.6978119022,167.3830988624861,10011.087914061389,166.70422698513562,185.30808135428103,323.2989512716319,75.64811999168774,683.0878215635543,33.64722100547144,32.99509848562184,531551.248086195,66096.7857259636,7830.752380877961
2042,833640.0,73998.72314624628,399634129.6302517,8195626388.308583,86675830.10113446,6184.767805810487,56085.6978119022,167.98302705467233,10011.08791406139,173.35843502789848,192.1051377406272,329.935813886657,82.80436446573604,690.5663342287664,40.28527181488919,40.13123025295683,531493.9726384714,66096.7857259636,7901.937420282691
2043,838955.0,74080.27622998015,440371898.4412842,8986327418.980932,95612219.47433919,6210.210835982203,56085.6978119022,168.67407922669935,10011.08791406139,181.41701432815685,199.4136041678058,338.0648188668129,90.7532537609763,698.902611406912,48.103944848259296,47.9503414287353,531428.7785260064,66096.7857259636,7983.490504016561
2044,844291.0,74170.51023016265,516091150.7310733,10614106309.724262,111886799.5592054,6237.988908225134,56085.6978119022,169.42855292848117,10011.08791406139,189.84570340367085,208.37750818537788,346.4482939844614,99.12851198120728,708.7415078095005,57.058212683647895,56.70730499757156,531355.8581869649,66096.7857259636,8073.724504199053
2045,849660.0,74271.49214925349,504119486.40261877,10326625196.71317,109464040.14581098,6270.134788926514,56085.6978119022,170.30165965085206,10011.08791406139,198.6967554666211,217.912991235941,355.87921527392723,108.54259649860012,719.7386264889608,67.26886176023514,66.23092798824707,531275.4258252599,66096.7857259636,8174.706423289899
2046,855071.0,74384.50758619266,456164408.94912994,9430630327.701414,98940645.63821012,6305.7098903133865,56085.6978119022,171.26790663155995,10011.08791406139,209.09204161296768,229.3953791255728,366.0153210055002,119.52782343924169,731.5848965960031,77.68071327103335,77.44788823380655,531185.2904420199,66096.7857259636,8287.72186022907
2047,860540.0,74507.17802015862,581390564.3273898,12031397445.448738,126129379.21777178,6344.213247827102,56085.6978119022,172.31368728978384,10011.08791406139,220.9437999231266,241.0256279351865,377.27092292789183,131.33683900964957,744.4565396306906,89.47133740281016,89.36029224878673,531087.4324688656,66096.7857259636,8410.392294195028
2048,866088.0,74642.8393524603,470223014.9301841,9812518473.679096,101897113.82764637,6387.378274249021,56085.6978119022,173.48608244331515,10011.08791406139,233.39649255561085,254.47148058970004,389.8158169500162,144.26605309748743,758.1301165480796,102.2915997271313,102.81771033634053,530979.4665741023,66096.7857259636,8546.053626496705
2049,871726.0,74794.46870781801,465633126.7336875,9646624025.16441,100889434.90379578,6436.95435801711,56085.6978119022,174.83260682100575,10011.08791406139,247.7630303206575,268.835930115412,403.9153151068821,158.75681266025637,773.1933571632015,116.41698694619524,117.01458470370667,530859.6844080433,66096.7857259636,8697.682981854428
2050,877459.0,74957.48769709856,443075995.14301693,9274303689.660547,95916544.19401154,6489.626929478327,56085.6978119022,176.26323417430683,10011.08791406139,262.2987829690672,284.29926834878364,418.7525456610605,174.72648942170866,789.6445989677555,131.94523792104036,133.14488419291797,530731.3621963084,66096.7857259636,8860.701971134966
