Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq),Protein (cropland),Protein (pasture/forages),Dairy (cropland),Dairy (pasture/forage),Fruit (orchard/vineyard),Fruit (berry/melon),Vegetables (specialty),Vegetables (field),Grains,Oil,Sugar,Commodity crops (corn/soy),Pasture LU (ha),Cropland LU (ha)
2036,801351.0,74672.87008626541,552117689.9220634,11370060897.241964,119686080.96730465,6420.149252948686,56054.19070013445,174.3761673057318,10005.464012101877,240.7859504739852,259.3119567504378,395.0140449667063,148.782537483408,761.3388610040578,107.39248974748426,106.0641133485914,530871.0060219542,66059.65471223633,8613.215374029089
2037,806861.0,75041.34266097377,502959567.6910629,10485327043.029276,108980819.84842007,6532.633233301895,56054.19070013445,177.43131830059025,10005.464012101877,276.8399823642592,293.92367583434145,428.4817772621034,182.24775485840016,803.7399132235984,143.42842345516664,142.96187013708845,530552.8357516204,66059.65471223633,8981.687948737444
2038,812298.0,75442.87179799675,587700401.0972313,12265552302.61367,127181672.3716243,6654.0476563501625,56054.19070013445,180.7290269538696,10005.464012101877,314.2159325470341,331.97064184451284,468.6803125847243,221.23183558967148,848.4577076948708,182.97148296751263,180.9124892280583,530209.053138896,66059.65471223633,9383.217085760416
2039,817679.0,75848.48236531769,420260703.5781141,9032750695.434523,90885570.57878807,6779.193696717261,56054.19070013445,184.1280891894836,10005.464012101877,352.7934332710139,371.8537649977727,505.4464184984921,259.79131543839765,890.8749184889048,223.6324989092788,221.113517570762,529865.429702396,66059.65471223633,9788.827653081365
2040,823018.0,76304.6041652851,470086327.1432374,9668070545.3058,101531624.66911572,6922.55376386014,56054.19070013445,188.021858332247,10005.464012101877,395.1694802356117,415.7889871991792,548.7143816657102,301.8868142582985,941.6397940527992,268.0022742302813,263.17209921451354,529475.2139930724,66059.65471223633,10244.949453048777
2041,828332.0,76856.88703371178,449164366.99852145,9326375368.175983,96830329.92003551,7095.746522348777,56054.19070013445,192.72590620410688,10005.464012101877,445.51340827429897,470.6409804520816,600.1376172262951,355.8668723723202,999.0056561641762,323.0791784584462,314.5161799749552,528995.0490262203,66059.65471223633,10797.232321475458
2042,833640.0,77516.06941621067,479188094.1731806,10212949352.68905,103274410.15211709,7300.707809838021,56054.19070013445,198.29281163734237,10005.464012101877,508.3224123839889,534.5438822445747,661.7035548337724,417.5085475889401,1067.3997404618833,388.9335080316308,379.0024369541898,528415.8148226787,66059.65471223633,11456.414703974344
2043,838955.0,78271.11253226518,543322667.804703,11442456719.593761,117140786.82582612,7535.188144971813,56054.19070013445,204.6614769967053,10005.464012101877,584.545203160281,607.5642744881177,734.7230208803414,488.3477609477055,1146.4785511095886,464.7726097091009,445.1767777652001,527752.8195255841,66059.65471223633,12211.457820028854
2044,844291.0,79108.55075781207,658330493.2855992,14279897581.947443,141675921.2327276,7799.021582642192,56054.19070013445,211.8273950860591,10005.464012101877,663.6770376057808,683.3632656327954,818.7973106487954,570.5480546504181,1231.39348394207,545.3939962263158,524.8739191413214,527017.0519022641,66059.65471223633,13048.896045575748
2045,849660.0,79987.25600204658,661908438.7881444,14170051257.390156,142459146.09450743,8063.205992765145,56054.19070013445,219.00284585583805,10005.464012101877,753.090900350997,772.917763769177,902.7280681199396,658.2157800083432,1321.594901550537,629.4748373487308,607.3702000415375,526243.6875218358,66059.65471223633,13927.601289810245
2046,855071.0,80953.87042183787,620475645.426576,13660079693.448093,133135750.44225618,8354.433912095541,56054.19070013445,226.9128190331646,10005.464012101877,848.370019318983,870.3667209819675,993.1705363939268,753.6445471178238,1421.71537334321,727.322881787456,698.2788995294717,525389.4113395518,66059.65471223633,14894.215709601543
2047,860540.0,82014.98621596755,817825458.1202086,18126946640.093113,175552276.25973877,8685.911061063329,56054.19070013445,235.91599209177937,10005.464012101877,950.4242933395922,970.5918904972268,1091.1212178165297,853.3867066126005,1532.2265229660684,832.2237754927887,803.5300438513075,524452.3588261731,66059.65471223633,15955.331503731222
2048,866088.0,83160.90611303084,688216556.9071623,15630884055.798273,147365150.14042854,9055.555700071453,56054.19070013445,245.9558233909884,10005.464012101877,1058.0291842121137,1080.790901461134,1197.5388211746642,962.8974590873152,1648.9533225359608,943.4579637281838,908.0722251327018,523432.0994459793,66059.65471223633,17101.251400794514
2049,871726.0,84454.16294163719,705869020.4027139,15750296142.902653,151000283.1406004,9453.018627118438,56054.19070013445,256.75122068377544,10005.464012101877,1187.4386115735358,1207.6566179252086,1320.6065130814286,1084.3958383499828,1786.0682931386232,1064.3506085100005,1034.221899019865,522287.131712286,66059.65471223633,18394.508229400857
2050,877459.0,85802.9386487638,699241965.6757016,16080779159.519678,149223910.5625689,9869.26478715528,56054.19070013445,268.0567849601225,10005.464012101877,1318.8699471817383,1336.2253138587866,1455.8462096612532,1211.8912686010297,1929.688781986546,1198.222505009808,1155.2183381129057,521085.179193087,66059.65471223633,19743.283936527474
