,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
DRYB,1872.2466666666667,1995.5416666666667,1674.5383333333332,2424.87,1840.2716666666668,1375.3283333333331,2440.1299999999997,2166.65,2318.1633333333334,1546.6233333333332,1599.455,1882.7433333333336,1918.92,2118.241666666667,1880.1416666666664,1649.4866666666667,1848.6966666666667,2731.4033333333336,2219.3666666666672,2517.79,2001.0304166666665
FESC,9519.783176229508,10467.617295081965,10541.550245901639,10874.259952185794,11494.64806693989,11812.871673497268,11991.469077868853,12451.273770491804,12786.813572404371,12626.636407103828,13007.070881147543,12643.782800546447,12302.412131147541,12601.978415300546,13187.399344262296,13660.226803278689,13682.053203551914,13748.36980191257,13883.337991803279,13758.414508196722,12352.098455942625
FRSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAP,5119.925,6380.13,4331.705000000001,5242.608333333334,6206.326666666667,6229.158333333334,5551.108333333334,5804.068333333333,6225.778333333333,4434.253333333334,6417.419999999999,4139.186666666666,4191.251666666667,5738.418333333332,5684.046666666666,6689.603333333333,5363.781666666667,5868.951666666667,5755.123333333334,5084.121666666666,5522.848333333332
HAY,627.5749272349273,615.4517047817048,499.8710576923077,582.5316346153847,525.3372661122661,536.9991190228691,511.43444386694387,537.5574194386695,494.1396387733888,455.60710758835756,479.418316008316,458.190155925156,436.7931003118503,360.5736434511434,336.1490800415801,458.65179313929315,527.8626195426195,443.24079261954256,448.1590540540541,424.1819178794179,487.9862396049895
HMEL,14.561666666666667,15.091666666666667,15.523333333333335,29.205000000000002,10.03,2.2866666666666666,24.445000000000004,20.448333333333334,30.531666666666666,4.946666666666666,3.0199999999999996,26.978333333333335,35.211666666666666,53.51666666666666,12.846666666666666,6.243333333333333,9.196666666666667,24.913333333333338,14.156666666666666,51.08166666666667,20.211750000000002
KALE,5378.736666666667,5639.943333333333,4605.91,5091.946666666666,6042.72,4409.163333333333,5477.150000000001,3897.7649999999994,4811.373333333333,4051.123333333333,4139.243333333333,3149.9483333333333,3525.435,4812.4400000000005,4205.79,5737.873333333333,3816.8333333333335,4362.078333333334,4989.858333333334,4771.22,4645.827583333334
LETT,3847.3058333333324,5980.575,3097.529166666667,3953.521666666666,4614.384166666667,5670.242499999999,4014.4216666666666,4458.938333333333,4326.581666666666,2741.820833333333,3264.8541666666674,1669.081666666667,1433.8658333333333,2512.1225,3745.2883333333334,5835.235000000001,4965.831666666666,4317.46,3909.251666666667,4119.3425,3923.882708333333
ONIO,1573.155,3559.4400000000005,1511.2600000000002,2537.4250000000006,1825.0016666666668,1192.805,2923.218333333333,2201.64,2443.013333333334,201.05000000000004,331.7916666666667,337.3733333333333,468.59666666666664,2644.245,1688.4683333333332,1300.3083333333334,1123.6000000000001,2413.883333333333,1683.8966666666665,2193.2366666666667,1707.6704166666666
PEAR,6734.503333333333,6888.391666666666,6396.798333333333,5171.363333333334,7451.701666666667,6998.700000000001,5849.2699999999995,4397.131666666667,6031.303333333333,6229.971666666667,6933.718333333333,5206.493333333333,4816.056666666666,5996.13,6617.110000000001,7195.438333333334,6713.135000000001,6289.428333333333,6000.306666666666,5024.166666666667,6147.055916666667
POTA,9438.225,10716.955000000002,10318.591666666665,7491.988333333332,10801.236666666666,11431.258333333331,9196.873333333333,8913.263333333332,10994.596666666666,11248.613333333333,11035.265,8626.986666666666,8147.671666666666,9689.21,9633.186666666666,10775.976666666667,11037.62,8658.52,9247.081666666667,7001.671666666666,9720.239583333332
PUMP,165.97166666666666,190.6,227.85000000000002,639.2816666666666,211.37000000000003,2.018333333333333,582.9183333333333,306.0316666666667,389.4116666666667,21.788333333333338,7.43,275.66333333333336,643.0083333333333,1179.53,313.34999999999997,26.683333333333337,91.14833333333333,478.84833333333336,202.86166666666668,489.895,322.2830000000001
RASP,5542.293333333334,8076.888333333333,5437.94,6926.263333333333,7771.4766666666665,7203.823333333334,7171.739999999999,7899.321666666667,7258.025000000001,4635.741666666667,7595.6449999999995,5175.876666666666,5228.91,7786.115000000001,6041.546666666666,7543.621666666667,6599.613333333334,7299.681666666667,6961.255,5962.221666666665,6705.9
SCRN,330.4166666666667,1298.8583333333333,463.2950000000001,1653.1783333333333,339.71,215.8983333333333,938.6266666666667,1452.3633333333335,1740.1816666666666,250.64166666666665,145.85999999999999,508.8966666666666,363.875,2126.2116666666666,646.8000000000001,388.445,463.85166666666663,986.29,570.2766666666666,1469.0383333333332,817.6357500000001
SNPB,1972.1483333333333,1834.86,1634.3933333333334,2466.3300000000004,1856.8516666666667,1391.8,2306.018333333333,2270.635,2375.7716666666665,1431.8166666666666,1598.2083333333333,1752.1800000000003,1950.426666666667,1896.8483333333334,1860.945,1700.426666666667,1804.7616666666665,2634.2183333333332,2248.8216666666667,2602.0116666666668,1979.473666666666
SOYB,2395.50508385242,2545.6417610364683,1925.113013895544,2135.944285028791,2442.6529324389076,2636.670403071017,2427.671605174892,2397.001948176584,2443.3235936751316,2446.98197696737,2599.7240344992815,1879.7245393474088,2188.215198850024,2058.310916506718,2512.4695927168186,2756.648296545106,2590.859880210829,2527.7561132437622,2624.350114997604,2403.5689251439535,2396.906710768932
SPIN,3309.133333333333,8118.086666666666,2770.383333333333,7676.37,5582.206666666666,3009.0816666666665,5555.670000000001,7716.23,4783.985,2309.3633333333332,1714.205,2395.1616666666664,3647.1299999999997,6580.988333333334,2356.7233333333334,4045.11,5652.413333333333,3748.61,3300.2666666666664,7042.188333333334,4565.665333333333
