,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
CRRT,8829.843333333332,10210.703333333333,9514.48,10410.663333333334,8323.613333333335,8600.38,9978.103333333334,9852.660000000002,9845.863333333335,7718.843333333334,7690.203333333332,5885.625,8479.683333333334,9399.371666666668,8807.995,7483.218333333334,7675.360000000001,9716.661666666667,9972.023333333333,9548.173333333334,8897.173416666668
CUCM,90.30166666666666,130.66333333333333,48.465,419.0583333333334,122.55,5.6883333333333335,538.1133333333333,242.76833333333332,229.33833333333328,23.795,8.128333333333332,106.35500000000002,231.8983333333333,593.9233333333333,234.54000000000005,28.518333333333334,60.94666666666666,341.4466666666667,221.24166666666667,352.99166666666673,201.53658333333337
DRYB,2084.78,2066.076666666667,1831.7699999999998,2704.608333333333,2011.2316666666668,1511.72,2628.6333333333337,2433.6833333333334,2541.6666666666665,1369.445,1676.4750000000001,1635.5150000000003,2041.623333333333,2323.233333333333,2222.785,1811.6299999999999,1814.2533333333333,2872.6300000000006,2461.0516666666667,2915.723333333333,2147.9267499999996
FESC,9522.056671251717,10470.758198074278,10545.976795048142,10880.393136176066,11503.17227647868,11823.021918844564,12001.967083906466,12459.851189821185,12796.830206327373,12639.503892709767,13020.564979367264,12659.644415405777,12319.130302613477,12619.023294360384,13206.412517193949,13681.621685006878,13703.785412654746,13770.200419532322,13906.489037138928,13782.800756533701,12365.660209422282
FRSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAP,5355.788333333334,6403.293333333334,5366.768333333333,5410.839999999999,6365.535,6144.336666666667,5611.113333333334,5934.544999999999,6036.23,4819.201666666667,6010.223333333334,4189.408333333334,4069.116666666667,5805.006666666667,6243.911666666667,6895.566666666667,4975.7733333333335,5848.98,5804.610000000001,5112.6916666666675,5620.147
HAY,627.3819754697286,615.2819598121085,499.70225208768267,582.6178992693111,525.4375156576201,536.9505975991649,511.51925365344476,537.3972781837161,493.88339248434244,455.7873408141962,479.7009159707724,458.35547233820455,436.9287134655532,360.9772025052192,335.9881732776618,458.5305480167014,528.0164065762004,444.05010177453033,448.41245041753655,424.29213204592907,488.06057907098113
HMEL,15.571666666666667,16.75333333333333,17.048333333333336,32.544999999999995,11.649999999999999,2.3033333333333332,30.036666666666665,24.458333333333332,36.041666666666664,4.983333333333333,3.3783333333333334,24.92,38.65666666666666,65.70833333333333,15.788333333333334,7.235,10.633333333333333,29.956666666666667,17.628333333333334,60.86499999999999,23.30808333333333
KALE,4940.453333333334,5537.546666666666,3486.7233333333334,5127.7,5740.236666666667,4643.241666666667,5335.135,3536.811666666667,5255.553333333333,3966.8650000000002,3837.258333333333,2537.933333333334,2123.795,4977.8116666666665,4001.2700000000004,5536.28,4544.54,4408.076666666667,5073.003333333333,4535.5233333333335,4457.287916666666
LETT,4214.409166666667,5994.287499999999,3375.9575,3981.435,4969.299166666667,6286.278333333333,4264.19,4419.378333333333,4678.714166666666,3207.063333333333,4321.649166666666,1418.4775000000002,1530.135,2511.9616666666666,4070.411666666667,5663.364166666666,5813.159166666665,4276.230833333334,3830.8091666666674,4101.541666666667,4146.4376250000005
ONIO,1549.4183333333333,3589.498333333333,1663.2399999999998,2678.7316666666666,2004.2700000000002,1577.8383333333334,3202.963333333333,2387.2516666666666,2806.5266666666666,466.2133333333332,1044.3666666666666,840.16,1370.1466666666668,2761.4616666666666,2110.04,1278.341666666667,1246.8183333333334,2763.8783333333336,2420.358333333333,2333.3366666666666,2004.743
PEAR,6835.05,6828.586666666667,6659.535,5089.501666666668,7905.558333333333,7162.048333333333,6043.200000000001,4876.421666666667,6567.299999999999,6734.598333333332,7464.88,5765.203333333334,5030.116666666667,6117.866666666668,6795.565000000001,7267.463333333333,6980.516666666667,6792.128333333333,6474.891666666666,5296.413333333334,6434.34225
POTA,6840.233333333333,10756.288333333332,9732.691666666666,7550.53,10617.44,10542.958333333334,8576.545,8911.616666666667,10505.033333333335,7158.6466666666665,9400.92,7653.368333333333,5881.848333333332,9630.581666666665,8771.373333333333,10550.175000000001,9797.963333333333,8353.801666666666,7314.076666666665,6758.036666666667,8765.206416666664
PUMP,173.66333333333333,195.64833333333334,233.85833333333332,640.2566666666667,198.96166666666667,1.8216666666666665,577.1116666666666,311.3983333333333,380.2749999999999,20.82166666666667,5.728333333333333,326.71999999999997,709.8316666666666,1119.9,273.16499999999996,18.77,74.08666666666666,407.13166666666666,169.745,464.51500000000004,315.17050000000006
RASP,5498.4766666666665,7825.093333333333,5292.543333333334,6909.333333333333,7942.078333333334,7348.583333333333,7123.448333333334,7365.771666666667,7272.82,5409.371666666667,7590.81,5395.516666666667,5516.323333333334,7178.821666666667,6011.785,7647.818333333334,7115.931666666666,6976.481666666667,6731.25,6215.268333333333,6718.376333333334
SCRN,517.8616666666667,1231.2516666666668,641.915,1685.8933333333334,479.8433333333334,304.035,1289.7666666666667,1513.3233333333335,2041.2450000000001,420.59999999999997,304.2766666666667,954.65,940.29,1939.841666666667,981.1450000000001,564.1716666666666,791.5716666666667,1508.0833333333333,1124.5083333333334,2204.2366666666667,1071.9255000000003
SGBT,3106.0399999999995,5268.968333333333,4317.666666666667,4954.51,5090.735,4810.458333333333,4432.323333333334,5141.208333333333,4392.588333333334,2791.841666666667,3766.8416666666667,3259.4716666666664,3442.6800000000003,4595.286666666667,4269.448333333333,4477.87,4406.7733333333335,4677.8966666666665,3575.6866666666665,3673.863333333334,4222.607916666666
SNPB,1901.6783333333333,1759.0016666666668,1577.4783333333335,2370.5966666666664,1652.0466666666669,1331.0483333333334,2180.7783333333336,2136.3283333333334,2322.7050000000004,1478.7383333333335,1550.8466666666666,2054.19,1884.7633333333333,1728.59,1534.33,1558.493333333333,1763.1349999999995,2542.705,2040.2666666666664,2457.585,1891.26525
SOYB,2396.3956615532115,2545.893112709832,1926.2598561840844,2136.4587146282975,2443.850215723873,2637.041107913669,2428.371093000959,2397.750743405276,2444.4334707574303,2447.350791366907,2600.3979482262703,1879.5382925659471,2188.591951102589,2059.101208633094,2513.5590268456376,2757.108412470024,2590.8884084372007,2527.422369304556,2625.3838446788113,2403.859347721823,2397.4827788614743
