,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
HAY,628.32482830385,615.993982830385,500.6052393340271,583.4388735691988,525.5557466181061,537.2812200832466,511.0825208116545,537.7535561914672,493.9685093652446,455.9575156087409,479.6182362122789,458.2040920915713,437.00707856399583,360.9718132154006,336.53603277835583,459.21029396462023,528.0391311134235,443.72915712799164,448.36098074921955,424.5600624349636,488.30994354838714
HMEL,13.111666666666666,16.723333333333333,16.965,33.18333333333334,11.596666666666666,2.165,29.85166666666667,23.930000000000003,35.15833333333334,4.0249999999999995,2.856666666666667,18.371666666666666,38.02,59.79,17.833333333333332,6.8566666666666665,9.143333333333333,28.263333333333335,15.640000000000002,59.925000000000004,22.170499999999997
KALE,5850.661666666667,5574.611666666667,5111.346666666667,5042.174999999999,6019.151666666668,4506.054999999999,5486.27,3610.6316666666667,4750.04,4375.286666666667,4332.341666666666,3214.3633333333332,3630.238333333333,4645.361666666667,4992.8133333333335,5849.293333333334,3967.5066666666667,4376.6866666666665,4998.49,4741.16,4753.724250000001
LETT,4336.544166666667,5944.409166666667,3344.165833333333,3932.9375,4764.876666666666,6279.238333333334,4412.649166666666,4397.993333333334,4699.151666666668,3292.8125,4983.281666666666,2067.9741666666664,2213.723333333333,2543.8866666666668,3864.575833333334,6530.21,5023.995,4346.086666666666,4123.316666666667,4208.570000000001,4265.519916666667
ONIO,1281.6883333333333,3352.4616666666666,1335.6783333333335,2379.6983333333333,1497.265,1019.4783333333334,3182.7033333333334,2450.671666666667,2076.0366666666664,461.36666666666673,688.5949999999999,763.5733333333334,913.755,2249.7933333333335,1672.0599999999997,1056.2883333333332,1052.9116666666666,2799.9666666666667,1908.55,1764.6483333333333,1695.3595
PEAR,6964.553333333333,7214.513333333333,6610.316666666667,5638.2283333333335,7858.518333333333,7298.383333333334,6298.531666666666,4851.265,6731.026666666666,6668.790000000001,7644.256666666665,5412.125,4491.818333333333,6682.765,6935.821666666668,7352.886666666666,6942.015,6725.451666666668,6551.978333333333,5334.221666666666,6510.373333333333
POTA,8476.716666666667,11007.116666666667,10353.018333333335,7639.688333333334,10919.92,10923.021666666667,8864.981666666665,8443.894999999999,9957.948333333334,9566.238333333333,10026.986666666668,7971.028333333333,7302.766666666666,9621.193333333333,9318.193333333335,10466.738333333333,10431.058333333332,8375.703333333333,8766.08,6710.301666666666,9257.129749999998
PUMP,152.21833333333333,181.77166666666668,224.94166666666663,612.9933333333332,154.17,1.8016666666666665,491.0416666666667,258.0016666666666,340.5833333333333,21.24833333333333,5.566666666666666,240.89166666666665,600.63,1042.8500000000001,236.77666666666667,15.43,63.64166666666666,376.29833333333335,138.46333333333334,390.8033333333333,277.5061666666667
RASP,6584.8566666666675,7857.418333333332,5958.046666666666,6853.333333333332,7600.838333333333,7272.584999999999,7121.781666666666,7328.401666666666,7306.886666666666,5771.87,7868.441666666667,5600.981666666667,5988.841666666667,7199.461666666667,5774.061666666667,7635.0,7297.225000000001,7029.66,6778.114999999999,6240.218333333333,6853.40125
SCRN,466.58666666666664,1421.4066666666668,542.6716666666666,1788.9266666666665,415.05999999999995,242.08,1269.5966666666666,1568.2216666666666,1766.5383333333332,162.63666666666666,78.35333333333334,167.63166666666666,288.98333333333335,2720.5333333333333,1165.9216666666669,699.7816666666666,790.0749999999999,793.0066666666667,502.75666666666666,2182.345,951.6556666666668
SNPB,1813.0133333333335,1861.825,1584.7783333333334,2365.393333333333,1758.421666666667,1322.9533333333331,2306.1200000000003,2131.6216666666664,2331.4133333333334,1374.39,1558.125,1559.1883333333335,1877.2749999999999,1803.9233333333334,1768.8499999999997,1643.4766666666667,1689.3016666666665,2664.0766666666664,2219.0899999999997,2596.778333333333,1911.5007499999997
SOYB,2395.3900670498087,2545.398979885057,1926.5871072796933,2136.094066091954,2442.7379501915707,2637.1097509578544,2427.5010296934865,2395.8527490421457,2443.1572701149425,2445.8829501915707,2597.5246264367815,1876.254046934866,2185.639516283525,2058.357576628353,2513.5043630268196,2756.4471743295016,2590.935191570881,2527.1657614942524,2624.046063218391,2402.6433524904214,2396.4114796455933
SPIN,4264.61,8325.484999999999,3339.26,7451.281666666667,4017.2983333333327,4112.11,5880.12,7981.095000000001,4674.136666666666,4158.53,3483.1949999999997,2266.258333333333,3747.2999999999997,6399.44,3830.536666666667,5256.508333333332,5935.316666666667,3584.463333333333,4418.368333333334,7489.445,5030.737916666667
SPOT,2698.41,3570.0783333333334,2401.99,3378.17,3433.9316666666673,3071.1733333333336,3318.1650000000004,3462.4966666666664,3294.976666666667,2156.6583333333333,2132.705,1263.675,1992.4133333333332,2841.48,3726.33,3557.688333333333,2959.4799999999996,3561.7166666666667,3515.1683333333335,3333.6150000000002,2983.5160833333334
SQUA,870.13,847.0433333333334,975.8516666666666,1705.0733333333335,713.7166666666667,45.08833333333333,1558.1583333333335,1497.3133333333335,1622.4016666666666,247.58833333333337,76.49833333333333,1472.5116666666665,1590.1083333333336,1911.8266666666666,1169.165,308.47333333333336,705.4966666666666,1564.5116666666665,1203.2233333333331,1792.4433333333334,1093.8311666666664
STRW,1654.743333333333,2798.183333333333,1945.445,2572.4066666666668,2287.101666666667,2051.9783333333335,2433.851666666667,2577.758333333333,2498.638333333334,1823.2983333333334,2195.1749999999997,1977.985,2075.186666666667,2663.7833333333333,1947.2733333333333,2494.8966666666665,2275.3633333333332,2237.4483333333333,2187.731666666667,2771.8816666666667,2273.5065000000004
SWRN,7558.462159468438,8221.170365448506,8266.619468438537,8772.537308970099,8748.865913621261,8572.899667774085,9229.615182724252,9378.54996677741,9470.49292358804,9083.675182724253,8858.962790697673,8905.621827242525,9074.441860465116,10144.637674418605,9728.860299003323,9229.45803986711,9103.410132890365,9322.159867109634,9404.666445182724,9199.365382059801,9013.723622923588
TOMA,2089.2983333333336,2691.0383333333334,2320.8933333333334,2933.793333333333,2525.85,1993.0766666666666,2519.645,2723.4816666666666,2889.86,2112.495,1723.6633333333332,1457.2933333333333,1415.0833333333333,2159.6183333333333,2470.145,2411.0083333333337,2299.9300000000003,2859.27,2912.791666666666,2479.021666666667,2349.362833333333
WATR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WETN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
