,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
PEAR,6744.015,7156.128333333333,6636.818333333334,5413.168333333333,7799.246666666666,7167.555,6013.008333333334,4777.011666666667,6381.151666666668,6545.79,7514.191666666666,5439.758333333333,4802.995,6458.256666666667,6870.598333333334,7344.056666666666,6892.761666666666,6798.565,6295.981666666667,5254.855,6415.295666666666
POTA,9809.166666666666,11083.745,10131.253333333332,7605.741666666666,10872.315,11574.36,9304.221666666666,8737.328333333333,11128.455,11210.401666666667,10488.903333333334,8092.713333333332,7166.691666666667,9776.576666666668,9503.798333333332,10652.346666666666,11079.24,8480.609999999999,8891.673333333334,6943.02,9626.628083333333
PUMP,152.935,160.59166666666667,193.395,549.4133333333333,141.57500000000002,1.555,479.795,239.745,318.9216666666667,15.480000000000002,3.758333333333333,243.9333333333333,533.6366666666667,982.9733333333332,203.09666666666666,14.568333333333333,54.49666666666667,321.4916666666667,124.65166666666669,384.6416666666667,256.03275
RASP,4326.02,8078.066666666667,4404.071666666667,7028.193333333334,7608.656666666667,6969.495,7143.334999999999,7964.951666666667,6685.188333333334,4461.7,7713.328333333334,4987.631666666667,4996.056666666666,7793.506666666667,4586.446666666667,7032.971666666667,6638.845,7085.78,6754.518333333333,5934.22,6409.649166666667
SCRN,459.07666666666665,1220.1066666666668,647.1983333333334,1676.3766666666668,457.0083333333334,206.63666666666666,1143.8016666666667,1503.8466666666666,1810.1516666666666,281.8066666666667,146.73833333333334,365.675,609.0616666666666,2471.7183333333332,948.1066666666666,509.01000000000005,646.1933333333333,1390.2666666666664,886.785,1883.625,963.1595
SNPB,1946.4983333333332,1817.5983333333331,1603.46,2372.3266666666664,1634.3400000000001,1410.4216666666669,2112.181666666667,2169.433333333333,2373.2483333333334,1527.8883333333333,1660.5083333333332,2120.0666666666666,1899.2233333333334,1548.3333333333333,1628.5883333333331,1730.4166666666667,1962.0566666666666,2687.515,2042.6416666666664,2461.4733333333334,1935.4110000000005
SOYB,2395.2500621712097,2545.344274772618,1925.9169679579147,2136.12639061752,2442.6943137254902,2637.4005122067974,2427.353701578192,2396.9759262805164,2443.330076518412,2446.3968166586883,2598.7312099473934,1877.5383245572045,2186.401898613103,2058.0401196744856,2512.8738020086084,2756.599602680709,2591.0717599234813,2527.43196744854,2623.832448589192,2403.659468645285,2396.6484822287684
SPIN,4098.296666666666,8307.676666666666,2821.535,7755.761666666668,3878.4833333333336,3988.1766666666663,6182.038333333334,7284.243333333333,4701.391666666667,3058.2533333333336,2924.2533333333336,2935.818333333334,5086.289999999999,6007.421666666668,3582.685,6011.595,6292.514999999999,5423.196666666667,4593.4383333333335,7776.371666666667,5135.472083333335
SPOT,2702.1266666666666,3594.0733333333337,2199.6,3391.101666666666,3554.6516666666666,3199.0699999999997,3515.056666666667,3459.8016666666667,3645.9966666666664,2774.316666666667,1836.6233333333337,1591.835,2038.028333333333,2928.6966666666667,3916.1416666666664,3640.1216666666664,3072.736666666666,3660.67,3284.933333333333,3442.59,3072.408583333333
SQUA,911.705,959.3233333333334,1073.62,1885.7166666666665,839.0783333333333,49.973333333333336,1798.3100000000002,1548.8616666666667,1643.2766666666666,264.05,85.71166666666666,1356.1999999999998,1792.7666666666664,2311.8633333333332,1370.3783333333333,310.0983333333333,755.1466666666666,1639.1033333333332,1394.1466666666668,2002.0466666666669,1199.5688333333333
STRW,2222.5266666666666,2927.806666666667,2836.69,2836.08,2652.155,2596.0899999999997,3076.225,2987.3416666666667,3436.873333333333,2517.9466666666663,2757.241666666667,2234.32,2706.155,2978.025,3033.94,3226.0983333333334,3089.7233333333334,3234.16,3109.7583333333337,3892.83,2917.599333333334
