,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,AVG
ONIO,1549.4183333333333,3589.498333333333,1663.2399999999998,2678.7316666666666,2004.2700000000002,1577.8383333333334,3202.963333333333,2387.2516666666666,2806.5266666666666,466.2133333333332,1044.3666666666666,840.16,1984.2065277777776
PEAR,6813.731666666667,6767.116666666668,6573.268333333333,5170.761666666666,7835.923333333333,7115.555,6021.325000000001,4549.506666666667,6488.966666666666,6737.086666666667,7378.778333333333,5586.6033333333335,6419.885277777778
POTA,7279.783333333333,10569.365,9912.006666666666,7432.091666666667,10419.143333333333,10423.873333333335,8494.436666666668,8580.803333333333,10355.013333333334,7664.63,9922.695,7921.04,9081.240138888888
PUMP,158.80333333333334,184.13333333333333,227.00166666666667,608.88,165.125,1.5133333333333334,472.3066666666667,255.24833333333336,338.20166666666665,17.133333333333333,4.5566666666666675,247.48833333333332,223.3659722222222
RASP,5969.525000000001,7831.5,5593.088333333333,6922.93,7699.290000000001,7257.066666666667,7110.733333333334,7350.825000000001,7165.22,5443.211666666667,7666.986666666667,5450.27,6788.387222222223
SCRN,560.5483333333333,1267.3783333333333,663.8249999999999,1730.0666666666666,497.47166666666664,290.1266666666667,1306.2966666666664,1540.08,2062.936666666667,367.8033333333333,217.91666666666666,585.3116666666666,924.1468055555555
SGBT,3480.226666666666,5340.474999999999,4382.818333333334,4996.14,5140.253333333333,4852.343333333333,4593.618333333333,5177.443333333334,4406.136666666666,3540.4100000000003,4035.3950000000004,3684.308333333333,4469.130694444445
SNPB,1916.0283333333334,1772.8416666666665,1584.5216666666668,2369.0849999999996,1641.545,1354.32,2228.263333333334,2145.566666666667,2324.9866666666667,1511.6850000000002,1618.2450000000001,2108.375,1881.288611111111
SOYB,2396.375071907958,2545.8500239693194,1926.6582023010549,2136.440685522531,2443.9541466922337,2637.011088207095,2428.376649089166,2397.504007670182,2444.4722818791943,2447.2316778523486,2600.5723441994246,1879.7306327900285,2357.0147343400445
SPIN,3246.2916666666665,8164.088333333333,1954.6416666666667,7188.631666666665,3586.3783333333336,3105.845,4085.31,7066.958333333333,3606.146666666667,2759.145,2351.6716666666666,1749.9899999999998,4072.091527777778
SPOT,2552.155,3323.398333333333,2305.9416666666666,3030.52,3091.346666666667,2948.7433333333333,3219.463333333333,3188.693333333333,3249.6499999999996,2748.905,2658.8333333333335,2016.8566666666666,2861.208888888889
SQUA,878.2783333333333,856.7599999999999,970.1933333333333,1688.18,781.3016666666667,45.693333333333335,1634.4433333333334,1478.4133333333332,1567.506666666667,231.14000000000001,85.51833333333333,1307.7116666666666,960.4283333333333
STRW,2015.3933333333334,2899.4500000000003,2171.3416666666667,2904.2333333333336,2370.67,2247.2383333333332,3140.6783333333333,2866.765,3098.5833333333335,1613.7183333333335,1492.5883333333334,1464.3950000000002,2357.087916666667
SWRN,7572.7325,8242.8602,8291.3529,8803.464733333332,8781.6916,8606.895833333334,9267.065533333334,9420.865833333333,9514.673166666667,9127.001866666666,8901.816433333332,9283.211009174312,8817.802634097858
TOMA,2346.933333333333,3114.4300000000003,2339.541666666667,3227.533333333333,2901.5200000000004,2246.52,2976.1516666666666,2941.773333333333,3121.8250000000003,1891.8516666666667,1233.7450000000001,1098.5666666666666,2453.365972222222
WATR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
WETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WETN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWHT,950.4283333333333,948.8575000000001,1291.1333333333334,950.1983333333333,934.4341666666668,1186.6041666666665,782.9491666666667,1207.3700000000001,968.6341666666666,438.1466666666667,648.3791666666667,1367.39,972.8770833333334
