,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
FRSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAP,5000.181666666666,6302.588333333333,4428.3,5155.856666666666,6071.991666666668,6349.991666666666,5442.6066666666675,5405.964999999999,5963.475000000001,4880.256666666667,6268.014999999999,4470.578333333332,4048.2233333333334,5222.453333333334,5566.373333333334,6727.328333333334,5702.206666666666,5645.425,5333.355,5010.058333333333,5449.7615000000005
HAY,627.3728898128898,615.2082978170479,499.5997349272349,582.5970192307692,525.2675883575884,536.6394256756756,511.2250441787942,537.2214656964658,493.78587577962577,455.45725311850305,479.13212318087324,457.9155795218295,436.50390852390854,360.58675675675676,335.97740124740125,458.35430093555095,527.6695582120582,443.8957146569646,448.16444646569647,423.94507536382537,487.82597297297286
HMEL,12.698333333333332,15.643333333333333,16.628333333333334,29.210000000000004,10.333333333333334,2.165,26.709999999999997,20.906666666666666,31.319999999999997,4.176666666666667,2.8733333333333335,21.795,33.97,58.73000000000001,16.08,6.623333333333334,8.916666666666668,25.606666666666666,15.391666666666666,51.03666666666667,20.540750000000003
KALE,5378.736666666667,5639.943333333333,4605.91,5091.946666666666,6042.72,4409.163333333333,5477.150000000001,3897.7649999999994,4811.373333333333,4051.123333333333,4139.243333333333,3149.9483333333333,3525.435,4812.4400000000005,4205.79,5737.873333333333,3816.8333333333335,4362.078333333334,4989.858333333334,4771.22,4645.827583333334
LETT,3563.945833333333,5811.564166666666,2313.31,3907.92,4138.354166666667,5796.214166666666,3958.1175,4341.0175,3966.9366666666665,1968.1825000000001,2282.3525,1288.2,1163.3583333333336,2485.1524999999997,2614.730833333333,4780.597499999999,4191.363333333333,3994.228333333333,4069.9466666666667,4095.5375000000004,3536.5515
ONIO,1939.6033333333335,3814.6666666666674,2064.13,2740.35,2066.61,2006.3666666666666,3197.065,2496.8933333333334,2781.565,893.5566666666667,997.0149999999999,1191.2083333333333,1329.0433333333333,2719.95,2053.6833333333334,1716.7699999999998,1915.2549999999999,2980.5516666666663,2391.646666666667,2490.4633333333336,2189.3196666666668
PEAR,6936.53,7084.009999999999,6549.634999999999,5363.361666666667,7761.9783333333335,7093.173333333333,6028.825000000001,4512.5233333333335,6467.384999999999,6905.6033333333335,7651.125,5709.599999999999,5084.196666666667,5958.045000000001,6769.34,7259.565,6908.94,6735.836666666666,6491.0199999999995,5257.936666666666,6426.431500000001
POTA,8959.218333333332,10814.921666666667,10010.668333333333,7607.934999999999,10812.775000000001,11363.375,9207.529999999999,9504.858333333332,11068.116666666667,10273.553333333331,9898.178333333331,7989.038333333333,7331.035,9732.531666666666,9596.101666666664,10746.766666666668,10784.550000000001,8557.668333333333,8252.808333333332,6989.513333333333,9475.057166666666
PUMP,153.6,176.59833333333333,215.79666666666665,587.6533333333333,176.12166666666667,1.7033333333333334,510.03,252.31333333333336,341.42333333333335,16.403333333333336,5.953333333333333,204.78833333333333,554.2316666666667,1070.9783333333335,268.7666666666667,20.461666666666666,71.88833333333334,411.5566666666667,172.36166666666668,417.43499999999995,281.5032499999999
RASP,5176.415,8046.588333333333,5215.950000000001,6975.1466666666665,7614.005,7075.865000000001,7159.004999999998,7904.133333333334,7065.996666666667,4715.806666666667,7811.218333333333,5158.46,5134.826666666667,7798.240000000001,6186.419999999999,7543.169999999999,6744.485000000001,7241.9800000000005,6892.561666666666,6028.486666666667,6674.438
SCRN,456.3316666666667,1208.6333333333334,577.2116666666666,1616.1350000000002,469.84666666666664,238.07000000000002,1020.1866666666666,1589.285,1631.8883333333333,291.8916666666666,134.04166666666666,330.64833333333337,358.1933333333334,2611.491666666667,1078.805,520.4983333333333,623.9766666666666,967.0183333333334,527.0916666666666,1865.8966666666668,905.8570833333333
SNPB,1933.3950000000002,1841.6433333333334,1635.6083333333336,2350.5383333333334,1648.17,1403.886666666667,2063.3966666666665,2208.008333333333,2332.471666666667,1551.495,1576.695,1854.03,1903.3349999999998,1607.0916666666665,1509.5933333333332,1667.5349999999999,1827.6116666666667,2660.8766666666666,2106.8683333333333,2546.0483333333336,1911.4149166666666
SOYB,2395.4043896601247,2545.571553956834,1925.7186261369077,2136.0381822541963,2442.765351842987,2637.1241630695445,2427.5358927716607,2397.3633525179857,2443.48426041168,2446.9356690647483,2600.302431785543,1878.995117505995,2187.987582575395,2059.0579520383694,2512.443011010053,2756.6301151079138,2590.9909669698422,2527.321299760192,2624.193221637147,2403.6213525179855,2396.9742246297556
SPIN,3945.816666666667,8179.071666666667,3235.31,7481.058333333334,4758.87,3592.455,5566.486666666667,7266.306666666667,4651.095,2900.6416666666664,2915.0800000000004,2789.2100000000005,4462.171666666667,6142.018333333333,2964.6816666666673,4144.316666666667,5911.063333333334,4650.211666666666,4518.216666666666,7236.538333333334,4865.531000000001
SPOT,3217.851666666667,3309.8266666666664,2929.6366666666668,3026.3266666666664,3082.0616666666665,3310.7166666666667,3233.5333333333333,3143.671666666667,3304.6433333333334,3441.683333333334,3413.206666666667,2344.141666666667,2368.221666666667,2472.5333333333333,3400.3783333333336,3591.388333333333,3585.068333333333,3336.5750000000003,3213.5750000000003,3169.5266666666666,3144.7283333333335
SQUA,820.8366666666666,832.0083333333333,933.8566666666667,1632.625,662.1433333333333,36.824999999999996,1540.4533333333336,1338.285,1506.5916666666665,212.74499999999998,60.09166666666667,1260.5916666666665,1505.29,1868.2,1069.5666666666666,222.65666666666664,565.5216666666666,1493.2866666666666,1168.006666666667,1666.2516666666668,1019.7916666666667
STRW,2387.7999999999997,2928.4083333333333,2193.615,2730.1866666666665,2652.725,2086.846666666667,3033.3583333333336,2876.2433333333333,2880.476666666667,1566.2749999999999,2344.985,1634.2016666666668,2329.5516666666667,2974.6966666666667,1924.0816666666667,3011.133333333333,2665.6666666666665,3135.7833333333333,3142.0050000000006,3797.7116666666666,2614.787583333333
SWRN,7586.375302013423,8257.528691275167,8305.772046979866,8818.39812080537,8796.100536912752,8619.849228187919,9278.64600671141,9427.310771812081,9520.022080536914,9132.852181208053,8907.515167785235,8952.29244966443,9122.583389261743,10200.929798657718,9783.285,9282.19345637584,9152.525872483222,9373.229194630874,9452.550402684565,9242.766711409397,9060.6363204698
TOMA,2621.9616666666666,2935.376666666667,2294.366666666667,3207.0166666666664,2742.6566666666663,2441.023333333333,3097.315,2905.3933333333334,3463.3500000000004,1929.5116666666665,1488.7833333333335,1165.355,689.8716666666666,2152.88,2943.406666666667,2691.0849999999996,2270.5633333333335,2833.031666666667,3407.2816666666663,2785.9449999999997,2503.30875
WATR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WETF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WETN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
